Country,Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map
USA,Concert,Apr 20,Monsta X,2021 World Tour,"Fairfax, VA",EagleBank Arena
USA,Concert,Apr 23,Monsta X,2021 World Tour,"Atlantic City, NJ",[]()
USA,Concert,Apr 25,Monsta X,2021 World Tour,"Boston, MA",Agganis Arena
USA,Concert,Apr 27,Monsta X,2021 World Tour,"New York, NY",Radio City Music Hall
USA,Concert,May 2,Monsta X,2021 World Tour,"Chicago, IL",The Chicago Theatre
USA,Concert,May 5,Monsta X,2021 World Tour,"Detroit, MI",Fox Theatre Detroit
USA,Concert,May 7,Monsta X,2021 World Tour,"Duluth, GA",Infinite Energy Center
USA,Concert,May 10,Monsta X,2021 World Tour,"Sunrise, FL",BB&T Center
USA,Concert,May 12,Monsta X,2021 World Tour,"Ft. Worth, TX",Dickies Arena
USA,Concert,May 14,Monsta X,2021 World Tour,"Denver, CO",Pepsi Center
USA,Concert,May 16,Monsta X,2021 World Tour,"Phoenix, AZ",Arizona Federal Theatre
USA,Concert,May 18,Monsta X,2021 World Tour,"San Jose, CA",SAP Center at San Jose
USA,Concert,May 21,Monsta X,2021 World Tour,"Los Angeles, CA",[]()
Canada,Concert,Apr 30,Monsta X,2021 World Tour,"Toronto, ON",[Meridian Hall]()
Macau,Concert,Apr 24,A.C.E,2020 A.C.E CONCERT IN MACAU,Macau,Broadway Macau
Taiwan,Concert,June 30,Kim Jaejoong,2020 Asia Tour,Taipei,Taipei International Convention Center
