Country,Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map
Argentina,Concert,Dec 2,The Rose,Heal Together' World Tour,"Buenos Aires, AR",Niceto Club
Australia,Concert,Sep 5,Eric Nam,There And Back World Tour,"Brisbane, QLD",The Tivoli
Australia,Concert,Jul 11,EPIK HIGH,EPIK HIGH is Here,"Melbourne, VIC",The Forum
Australia,Concert,Sep 6,Eric Nam,There And Back World Tour,"Melbourne, VIC",The Forum
Australia,Concert,Dec 15,DPR,REGIME World Tour,"Melbourne, VIC",
Australia,Concert,Jul 12,EPIK HIGH,EPIK HIGH is Here,"Sydney, NSW",Enmore Theatre
Australia,Festival,Aug 12-13,"Kai & Chen (EXO), Chungha, OH MY GIRL, SF9, ASTRO, P1Harmony, ONEUS, EVERGLOW, Kep1er",HallyuPopFest Sydney,"Sydney, NSW",Qudos Bank Arena
Australia,Concert,Sep 7,Eric Nam,There And Back World Tour,"Sydney, NSW",Enmore Theatre
Australia,Concert,Dec 17,DPR,REGIME World Tour,"Sydney, NSW",
Austria,Concert,Oct 18,BLITZERS,LOOKING FOR BLEE,"Vienna, AUT",
Belgium,Concert,Jun 9,Eric Nam,World Tour 2022: There And Back Again,"Brussels, BE",La Madeleine
Belgium,Concert,Oct 9,BLITZERS,LOOKING FOR BLEE,"Brussels, BEL",
Belgium,Concert,Nov 10,DPR,REGIME World Tour,"Brussels, BEL",La Madeleine
Brazil,Fanmeet,Aug 15,MCND,1ST' America Tour,"Belo Horizonte, BR",
Brazil,Fanmeet,Jul 21,KARD,2022 WILD KARD,"Brasília, BR",Teatro UNIP
Brazil,Concert,October,E'LAST,Latin America Tour,Brazil,
Brazil,Concert,Jul 24,KARD,2022 WILD KARD,"Curitiba, BR",Ópera de Arame
Brazil,Concert,Sep 30,DKB,Meet & Live Grand America,"Curitiba, BR",Teatro Positivo
Brazil,Fanmeet,Aug 17,MCND,1ST' America Tour,"Porto Alegre, BR",
Brazil,Fanmeet,Jul 20,KARD,2022 WILD KARD,"Rio de Janeiro, BR",Teatro Dercy Gonçalves
Brazil,Fanmeet,Aug 14,MCND,1ST' America Tour,"Rio de Janeiro, BR",
Brazil,Concert,Oct 13,BLANK2Y,FUEGO' Tour,"Rio de Janeiro, BR",
Brazil,Concert,Oct 9,BLANK2Y,FUEGO' Tour,"Santos, BR",
Brazil,Concert,Jul 22,KARD,2022 WILD KARD,"Sao Paulo, BR",Carioca Club
Brazil,Fanmeet,Aug 12,MCND,1ST' America Tour,"Sao Paulo, BR",
Brazil,Concert,Aug 13,MCND,1ST' America Tour,"Sao Paulo, BR",
Brazil,Concert,Sep 28,OMEGA X,CONNECT: Don't Give Up,"Sao Paulo, BR",
Brazil,Concert,Sep 29,DKB,Meet & Live Grand America,"Sao Paulo, BR",Carioca Club
Brazil,Concert,Oct 16,BLANK2Y,FUEGO' Tour,"Sao Paulo, BR",
Brazil,Concert,Oct 16,DPR,REGIME World Tour,"Sao Paulo, BR",Audio
Brazil,Concert,Nov 25,Golden Child,Meet & Live Grand America,"Sao Paulo, BR",VIP Station
Brazil,Concert,Nov 26,"JAY B (GOT7), Jonghan",Tape: Press Pause,"Sao Paulo, BR",Vibra Sao Paulo
Brazil,Concert,Dec 4,The Rose,Heal Together' World Tour,"Sao Paulo, BR",Espaço Unimed Cine Joia
Bulgaria,Concert,Oct 25,3YE,Europe Tour,"Sofia, BGR",Sofia Live Club
Canada,Concert,Mar 6,"EPIK HIGH, Woosung",EPIK HIGH Is Here Tour,"Calgary, AB",MacEwan Hall
Canada,Concert,Sep 9,JUNNY,the 'blanc' tour,"Calgary, AB",MacEwan Hall
Canada,Concert,Oct 2,DPR,REGIME World Tour,"Calgary, AB",MacEwan Hall
Canada,Concert,Nov 6-7,BLACKPINK,BORN PINK' Tour,"Hamilton, ON",FirstOntario Centre
Canada,Concert,Sep 16,JUNNY,the 'blanc' tour,"Montreal, QC",Le National
Canada,Concert,Sep 26,DPR,REGIME World Tour,"Montreal, QC",L'Olympia
Canada,Concert,Feb 19,Eric Nam w/ Audrey Mika,There And Back World Tour,"Toronto, ON",History
Canada,Concert,Mar 16,"EPIK HIGH, Woosung",EPIK HIGH Is Here Tour,"Toronto, ON",History
Canada,Concert,Apr 12,SE SO NEON,2022 Live,"Toronto, ON",The Opera House
Canada,Concert,Aug 31,MCND,1ST' America Tour,"Toronto, ON",Opera House
Canada,Concert,Sep 3,SEVENTEEN,BE THE SUN,"Toronto, ON",Scotiabank Arena
Canada,Concert,Sep 6,Sunmi,GOOD GIRL GONE MAD,"Toronto, ON",TBA
Canada,Concert,Sep 14,JUNNY,the 'blanc' tour,"Toronto, ON",[Opera House]()
Canada,Concert,Sep 25,DPR,REGIME World Tour,"Toronto, ON",Rebel
Canada,Concert,Sep 27,WEi,First Love,"Toronto, ON",[Opera House]()
Canada,Concert,Oct 23,Mark Tuan (GOT7),The Other Side Tour,"Toronto, ON",The Phoenix
Canada,Concert,Oct 24,The Rose,Heal Together' World Tour,"Toronto, ON",HISTORY Danforth Music Hall
Canada,Concert,Oct 30,JUSTB,,"Toronto, ON",
Canada,Fanmeet,Oct 30,Yoon Jisung,,"Toronto, ON",
Canada,Concert,Oct 31,JUSTB,Halloween Concert,"Toronto, ON",
Canada,Concert,Oct 31,Yoon Jisung,,"Toronto, ON",
Canada,Concert,Nov 29,Golden Child,Meet & Live Grand America,"Toronto, ON",Phoenix Concert Theatre
Canada,Concert,Dec 2,ATEEZ,THE FELLOWSHIP : BREAK THE WALL,"Toronto, ON",FirstOntario Centre
Canada,Concert,Dec 13,Yerin Baek,North America Tour,"Toronto, ON",[Opera House]()
Canada,Concert,TBA,Jamie (Park Jimin),North American Tour,"Toronto, ON",[Opera House]()
Canada,Concert,Feb 3,Eric Nam w/ Lyn Lapid,There And Back World Tour,"Vancouver, BC",Vogue Theatre
Canada,Concert,Feb 5,Eric Nam w/ Lyn Lapid,There And Back World Tour,"Vancouver, BC",Vogue Theatre
Canada,Concert,Feb 6,Eric Nam w/ Lyn Lapid,There And Back World Tour,"Vancouver, BC",Vogue Theatre
Canada,Concert,Mar 4,"EPIK HIGH, Woosung",EPIK HIGH Is Here Tour,"Vancouver, BC",Vogue Theatre
Canada,Concert,Jun 6,Woosung,MOTH EP Showcase,"Vancouver, BC",Fortune Sound Club
Canada,Concert,Aug 10,SEVENTEEN,BE THE SUN,"Vancouver, BC",Rogers Arena
Canada,Concert,Sep 8,JUNNY,the 'blanc' tour,"Vancouver, BC",Harbour Convention Centre
Canada,Concert,Sep 15,Sunmi,GOOD GIRL GONE MAD,"Vancouver, BC",Queen Elizabeth Theatre
Canada,Concert,Oct 4,DPR,REGIME World Tour,"Vancouver, BC",Harbour Convention Centre
Canada,Concert,Oct 7,DKB,Meet & Live Grand America,"Vancouver, BC",Vogue Theatre
Canada,Fanmeet,Oct 26,Yoon Jisung,,"Vancouver, BC",
Canada,Concert,Oct 27,JUSTB,,"Vancouver, BC",
Canada,Concert,Oct 27,Yoon Jisung,,"Vancouver, BC",
Canada,Concert,Nov 1,Mark Tuan (GOT7),The Other Side Tour,"Vancouver, BC",Vogue Theatre
Canada,Concert,Dec 22,Yerin Baek,North America Tour,"Vancouver, BC",Hollywood Theatre
Canada,Concert,TBA,Jamie (Park Jimin),North American Tour,"Vancouver, BC",Harbour Convention Centre
Chile,Concert,October,E'LAST,Latin America Tour,Chile,
Chile,Concert,Jul 27,KARD,2022 WILD KARD,"Santiago, CHL",Teatro Caupolican
Chile,Concert,Aug 10,(G)I-DLE,JUST ME ()I-DLE,"Santiago, CHL",[Teatro Caupolican]()
Chile,Concert,Oct 2,DKB,Meet & Live Grand America,"Santiago, CHL",Teatro Coliseo
Chile,Concert,Oct 6,WEi,First Love,"Santiago, CHL",Cúpula Multiespacio
Chile,Concert,Oct 14,VERIVERY,PAGE:0,"Santiago, CHL",Teatro Coliseo
Chile,Concert,Oct 18,DPR,REGIME World Tour,"Santiago, CHL",Teatro Caupolican
Chile,Concert,Nov 28,"JAY B (GOT7), Jonghan",Tape: Press Pause,"Santiago, CHL",Basel Venue
Chile,Concert,Nov 28,The Rose,Heal Together' World Tour,"Santiago, CHL",Teatro Coliseo Blondie
Chile,Concert,Dec 10,W24,,"Santiago, CHL",
Colombia,Concert,July 24,GreatGuys,Latin America Tour 2022,"Bogotá, CO",Teatro Libre Chapinero
Colombia,Concert,Sep 16,DKB,Meet & Live Grand America,"Bogotá, CO",Teatro ABC
Colombia,Concert,Sep 23,OMEGA X,CONNECT: Don't Give Up,"Bogotá, CO",
Costa Rica,Concert,October,E'LAST,Latin America Tour,Costa Rica,
Czech,Concert,Jun 16,Eric Nam,World Tour 2022: There And Back Again,"Prague, CZ",Meet Factory
Czech,Concert,Oct 17,BLITZERS,LOOKING FOR BLEE,"Prague, CZE",
Denmark,Concert,Jun 5,Eric Nam,World Tour 2022: There And Back Again,"Copenhagen, DK",Dr Studio 2
Denmark,Concert,Nov 11,DPR,REGIME World Tour,"Copenhagen, DK",DR Studio 2
Denmark,Concert,Dec 15,BLACKPINK,BORN PINK' Tour,"Copenhagen, DNK",Royal Arena
Dominican Republic,Concert,July 30,GreatGuys,Latin America Tour 2022,"Santo Domingo, DR",Pabellón de la Fama
El Salvador,Concert,May 21,MustB,UNVEILED: Latin America Tour,"San Salvador, SV",Teatro Presidente
Finland,Concert,Aug 28,Sunmi,GOOD GIRL GONE MAD,"Helsinki, FIN",Kulttuuritalo
France,Festival,Jun 30,CL,MainSquare,"Arras, FR",La Citadelle
France,Festival,Sep,Choi Suhwan (Produce X 101),Woori Festival,France,
France,Concert,Mar 7,"Gsoul, Oceanfromtheblue, Woogie",GSOUL Europe Tour,"Paris, FR",Trabendo
France,Concert,Apr 15,MCND,Europe Tour 2022,"Paris, FR",YOYO
France,Concert,May 4,ATEEZ,The Fellowship: Beginning of the End,"Paris, FR",Accor Arena
France,Concert,May 18,Woosung,MOTH EP Showcase,"Paris, FR",Alhambra
France,Concert,Jun 20,Eric Nam,World Tour 2022: There And Back Again,"Paris, FR",FVTVR
France,Concert,Jun 25,THE BOYZ,THE B-ZONE in Europe,"Paris, FR",La Seine Musicale
France,Concert,Aug 26,Sunmi,GOOD GIRL GONE MAD,"Paris, FR",Salle Pleyel
France,Concert,Sep 13,LOONA,[LOONATHEWORLD],"Paris, FR",Le Zenith
France,Concert,Oct 5,BLITZERS,LOOKING FOR BLEE,"Paris, FR",
France,Concert,Oct 12,Jessi,Europe Tour,"Paris, FR",Casino de Paris
France,Concert,Oct 16,PIXY,Wanna Be Your Villain,"Paris, FR",Petit Bain
France,Concert,Oct 30,3YE,Europe Tour,"Paris, FR",Petit Bain
France,Concert,Nov 4,DPR,REGIME World Tour,"Paris, FR",Salle Playel
France,Concert,Dec 11-12,BLACKPINK,BORN PINK' Tour,"Paris, FR",Accor Arena
France,Concert,Dec 16,"JAY B, JOMALXNE",Tape: Press Pause,"Paris, FR",Bataclan
Germany,Fanmeet,May 5,Yugyeom (GOT7),YUGYEOM meets Germany,"Berlin, DE",Verti Music Hall
Germany,Concert,May 8-9,ATEEZ,The Fellowship: Beginning of the End,"Berlin, DE",Mercedes-Benz Arena
Germany,Concert,May 25,Woosung,MOTH EP Showcase,"Berlin, DE",Metropol
Germany,Concert,Jun 18,Eric Nam,World Tour 2022: There And Back Again,"Berlin, DE",Astra
Germany,Concert,Jun 28,THE BOYZ,THE B-ZONE in Europe,"Berlin, DE",Verti Music Hall
Germany,Concert,Oct 8,Jessi,Europe Tour,"Berlin, DE",Verti Music Hall
Germany,Concert,Oct 15,BLITZERS,LOOKING FOR BLEE,"Berlin, DE",
Germany,Concert,Nov 8,DPR,REGIME World Tour,"Berlin, DE",Astra
Germany,Concert,Dec 19,BLACKPINK,BORN PINK' Tour,"Berlin, DE",Mercedes-Benz Arena
Germany,Concert,Apr 13,MCND,Europe Tour 2022,"Cologne, DE",Live Music Hall
Germany,Concert,Jun 7,Eric Nam,World Tour 2022: There And Back Again,"Cologne, DE",E-Werk
Germany,Concert,Oct 12,BLITZERS,LOOKING FOR BLEE,"Cologne, DE",
Germany,Concert,Oct 14,PIXY,Wanna Be Your Villain,"Cologne, DE",Luxor
