Country,Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Canada,Concert,Nov 09,Day6,Youth,"Toronto, ON",Roy Thomson Hall,Venue,SubKulture Ent
Canada,Fanmeet,Feb 12,Astro,Global Fan Meeting,"Vancouver, BC",The Orpheum,MegaBoxOffice,Facebook
Canada,Concert,Mar 28,Zion.T,Zion.T Live in US & Canada 2018,"Vancouver, BC",Hard Rock Casino Theatre,TBA,KpopMe
Canada,Concert,Jun 09,Eric Nam,Honestly,"Vancouver, BC",Rio Theatre,Sold Out,FB
Canada,Concert,Oct 03,Hyukoh,24 Tour,"Vancouver, BC",Commodore Ballroom,LiveNation,FB
Canada,Concert,May 20,Amber,Amber,"Vancouver, Coquitlam",Hard Rock Casino,Ticketmaster,VKC18
Canada,Concert,May 20,A.C.E.,Sweet Fantasy,"Vancouver, Coquitlam",Hard Rock Casino,Ticketmaster,VKC18
Chile,Concert,Jul 17,Got7,Eyes on You,"Santiago, Chile",Movistar Arena,TBA,---
Chile,Concert,July 29,Dreamcatcher,Welcome to the Dream World,"Santiago, Chile",Club Chocolate,---,MMT
Chile,Concert,Aug 10,Monsta X,The Connect,"Santiago, Chile",Polideportivo Estadio Nacional,Punto Ticket,---
Chile,Concert,Nov 18,ACE,To Be An ACE,"Santiago, Chile",Teatro Coliseo,Punto Ticket,MyMusicTaste
Colombia,Concert,Aug 03,Dreamcatcher,Welcome to the Dream World,"Bogota, Colombia",Teatro ECCI El Dorado,---,MMT
Finland,Concert,Mar 04,HALO,Here I Am,"Helsinki, Finland",Gloria,Weezevent,Kanzen Music
Finland,Concert,Dec 02,The Rose,Paint it Rose 2nd Coloring,"Helsinki, Finland",Nosturi,TBA,MyMusicTaste
France,Concert,Feb 25,Dreamcatcher,Fly High,"Paris, France",Le Trianon,"1, 2",MyMusicTaste
France,Concert,Mar 06,HALO,Here I Am,"Paris, France",Trabendo,Weezevent,Kanzen Music
France,Concert,May 14,K-hiphop,"Penomeco, Punchnello, Millic","Paris, France",La Bellevilloise,ResidentAdvisor,FB
France,Concert,Jun 10,Got7,Eyes on You,"Paris, France",Le Zenith,Digitick,---
France,Concert,Aug 31,BigOne,European Tour,"Paris, France",La Boule Noire,Eventim,Beyond Ent
France,Concert,Oct 19-20,BTS,Love Yourself,"Paris, France",AccorHotels Arena,LiveNation,---
France,Concert,Nov 25,The Rose,Paint it Rose 2nd Coloring,"Paris, France",Yoyo,TBA,MyMusicTaste
Germany,Concert,Feb 22,Dreamcatcher,Fly High,"Berlin, Germany",Columbia Theater,Eventim,MyMusicTaste
Germany,Concert,Jun 08,Got7,Eyes on You,"Berlin, Germany",Velodrom,Eventim,---
Germany,Concert,Sep 30,Zico,King of the Zungle,"Berlin, Germany",Astra Kulturhaus,Eventim,MyMusicTaste
Germany,Concert,Oct 16-17,BTS,Love Yourself,"Berlin, Germany",Mercedes-Benz Arena,LiveNation,---
Germany,Concert,Nov 18,The Rose,Paint it Rose 2nd Coloring,"Berlin, Germany",Kesselhaus,TBA,MyMusicTaste
Germany,Concert,Mar 08,HALO,Here I Am,"Cologne, Germany",Die Kantine,Weezevent,Kanzen Music
Germany,Concert,Jun 02,Flowsik,Flowsik in Europe,"Cologne, Germany",Club e-feld,TBA,FB
Germany,Concert,Nov 21,The Rose,Paint it Rose 2nd Coloring,"Cologne, Germany",Live Music Hall,TBA,MyMusicTaste
Germany,Concert,May 25,AlphaBAT,2nd European Tour,"Düsseldorf, Germany",Ambis Club,Ticketpay,FB
Germany,Concert,May 26,G2,G2 2018 Eurotrip,"Düsseldorf, Germany",Discothek Samdan,Tickettailor,FB
Germany,Concert,Sept 07,BigOne,European Tour,"Köln, Germany",Club e-feld,Eventim,Beyond Ent
Germany,Concert,Jun 08,Flowsik,Flowsik in Europe,"Munich, Germany",Latino's Bar & Club,TBA,FB
Hong Kong,Fanmeet,Jan 06,JBJ,Come True,"Chek Lap Kok, Hong Kong",AsiaWorld Expo,HK Ticketing,Midas Promotions
Hong Kong,Concert,Feb 10,Super Junior,Super Show 7,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,Dreammaker
Hong Kong,Fanmeet,May 19,Yook Sungjae (BTOB),Paradise,Hong Kong,MacPherson Stadium,"1, 2",AEG
Hong Kong,Concert,May 22,Teen Top,Live Show,Hong Kong,MacPherson Stadium,"1, 2, 2003",Iconic Media
Hong Kong,Fanmeet,Aug 04,Yoona,So Wonderful Day,Hong Kong,Asia World-Expo Arena,Venue,FB
Hong Kong,Concert,Aug 11,Apink,Asia Tour,Hong Kong,Asia World-Expo Arena,Eras Live,FB
Hong Kong,Fanmeet,Aug 18,Rain,Just For You,Hong Kong,Asia World-Expo Arena,Venue,FB
Hong Kong,Concert,Aug 24,Got7,Eyes on You,Hong Kong,Asia World-Expo Arena,"1, 2",FB
Hong Kong,Concert,Sept 01,Gfriend,Seasons of Gfriend,Hong Kong,KITEC,HK Ticketing,FB
Hong Kong,Concert,Sept 02,Mamamoo,4 Season,Hong Kong,Asia World-Expo Arena,"1, 2",---
Hong Kong,Concert,Nov 25,iKon,Continue,Hong Kong,Asia World-Expo Arena,TBA,Official
Hong Kong,Concert,Dec 08,IU,#이지금 #dlwlrma,Hong Kong,Asia World-Expo Arena,TBA,Official
Hong Kong,Concert,Feb 04,KARD,Wild Kard,"Kowloon Bay, Hong Kong",KITEC Rotunda 3,[TBA](),MyMusicTaste
Hong Kong,Fanmeet,May 26,Suzy,With,"Kowloon Bay, Hong Kong",KITEC,Cityline,StarMac
Hong Kong,Concert,May 26,Oh My Girl,1st Fan Concert in HK,"Kowloon Bay, Hong Kong",KITEC,CityLine,Reg Entertainment
Hong Kong,Fanmeet,Jun 16,Lovelyz,The Fan,"Kowloon Bay, Hong Kong",KITEC,"1, 2",---
Hong Kong,Showcase,Jun 29,Crush,Asia Showcase,"Kowloon Bay, Hong Kong",KITEC,Cityline,---
Hong Kong,Fanmeet,Jul 07,Yuchun (JYJ),Fan Meeting & Mini Concert,"Kowloon Bay, Hong Kong",KITEC,Cityline,---
Hong Kong,Concert,Jul 10,Monsta X,The Connect,"Kowloon Bay, Hong Kong",KITEC,"1, 2",---
Hong Kong,Concert,May 20,"Taeyeon, Red Velvet, Kriesha Chu",Wonder K Concert,"Wan Chai, Hong Kong",Hong Kong Exhibition Centre,HK Ticketing,---
Hungary,Concert,Feb 25,The Rose,Paint It Rose,"Budapest, Hungary",Dürer kert,Tixa,MyMusicTaste
Hungary,Concert,May 27,AlphaBAT,2nd European Tour,"Budapest, Hungary",Dürer Kert,Tixa,FB
Indonesia,Concert,Jun 30,Got7,Eyes on You,"BSD City, Indonesia",ICE - Hall 5,Indotix,Mecima Pro
Indonesia,Concert,Aug 25,TWICE,Fantasy Park,"BSD City, Indonesia",ICE - Hall 5,Indotix,Mecima Pro
Indonesia,Concert,May 12,NU'EST W,Double You,"Jakarta, Indonesia",The Kasablanka,Indotix,Mecima Pro
Indonesia,Concert,Jul 21,KARD,Wild Kard,"Jakarta, Indonesia",The Kasablanka,Indotix,Mecima Pro
Indonesia,Concert,Nov 17,Winner,Everywhere,"Jakarta, Indonesia",Tennis Indoor Stadium,IndoTix,MecimaPro
Indonesia,Concert,Nov 18,iKon,Continue,"Jakarta, Indonesia",Tennis Indoor Stadium,IndoTix,MecimaPro
Indonesia,Concert,Dec 08,Day6,Youth,"Jakarta, Indonesia",The Kasablanka,TBA,MecimaPro
Italy,Concert,Nov 24,The Rose,Paint it Rose 2nd Coloring,"Milan, Italy",Magazzini Generali,TBA,MyMusicTaste
Japan,Concert,Jul 21,Junho (2PM),TBD,---,[](),TBA,Official
Japan,Concert,Apr 06,HyunA,TBA,"Akasaka, Tokyo",Akasaka Blitz,L.tike,---
Japan,Fanmeet,Jun 17,Momoland,JAPAN 1st Fanmeeting,"Akasaka, Tokyo",Akasaka Blitz,Rakuten,---
Japan,Concert,Feb 20-21,Block B,Montage,"Aomi, Tokyo",Zepp DiverCity,T.pia,Official
Japan,Fanmeet,Jun 09-10,Yuchun (JYJ),‘再会’ 2nd Story,Chiba,Makuhari Messe,"1, 2, 3, 4",Official
Japan,Concert,Jul 10-11,Wanna One,One : The World,Chiba,Makuhari Messe,L-tike,---
Japan,Concert,Aug 25-26,Blackpink,Arena Tour,Chiba,Makuhari Messe,"1, 2",Official
Japan,Fanmeet,Apr 27,Highlight,”光” ～Hikari～,"Chiyoda, Tokyo",Tokyo Intl Forum Hall A,"1, 2",Official
Japan,Concert,Apr 28,WINNER,～We’ll always be young～,"Chiyoda, Tokyo",Nippon Budokan,"1, 2, 3, 4",Official
Japan,Fanmeet,May 04-05,KNK,2DAYS,"Chiyoda, Tokyo",Japan Education Center,"1, 2, 3. 4. 5",Official
Japan,Concert,Sept 13-14,iKON,Japan Tour,"Chiyoda, Tokyo",Tokyo Intl Forum Hall A,Yahoo,Official
Japan,Concert,Nov 06-07,iKON,Japan Tour,"Chiyoda, Tokyo",Nippon Budokan,Yahoo,Official
Japan,Concert,Mar 28-29,Red Velvet,Red Room,"Chofu, Tokyo",Musashino Forest Sport Plaza,Yahoo,Official
Japan,Fanmeet,Jan 25,B.A.P,2018 Fan Meeting,"Fuchu, Tokyo",Fuchu Forest Art Theater,"1, 2, 2003",Official
Japan,Showcase,Jan 22,Twice,Candy Pop,Fukuoka,Fukuoka Sun Palace Hotel,L-tike,Official
Japan,Concert,Mar 21,BoA,Unchained,Fukuoka,Fukuoka Convention Center,T.pia,Official
Japan,Concert,Mar 21,Winner,Japan Tour,Fukuoka,Fukuoka Civic Hall,Yahoo,Official
Japan,Concert,Apr 02,NCT 127,Chain,Fukuoka,Fukuoka Convention Center,Yahoo,---
Japan,Concert,May 01,B1A4,Paradise,Fukuoka,Fukuoka Civic Hall,"1, 2, 3, 4",Official
Japan,Concert,May 15,GOT7,Eyes on You,Fukuoka,Fukuoka Sun Palace Hotel,"1, 2",Official
Japan,Concert,May 16,EXO-CBX,Magical Circus,Fukuoka,Marine Messe Fukuoka,"1, 2, 3, 4, 5",Official
Japan,Showcase,Jun 15,Taeyeon,Japan Showcase,Fukuoka,Fukuoka Sun Palace Hotel,---,Official
Japan,Fanmeet,Jun 16,N (VIXX),えん返し 2018 Take a trip to Japan,Fukuoka,Imuzu Hall,Rakuten,Official
Japan,Concert,Jul 04-05,Jaejoong (JYJ),The Reunion in Memory,Fukuoka,Fukuoka Sun Palace Hotel,L-tike,---
Japan,Concert,Jul 06,Epik High,We've Done Something Wonderful,Fukuoka,Drum Logos,"1, 2",Official
Japan,Concert,Jul 13-14,Junho (2PM),TBD,Fukuoka,Fukuoka Sun Palace Hotel,TBA,Official
Japan,Concert,Aug 16-17,Blackpink,Arena Tour,Fukuoka,Fukuoka City Intl Center,"1, 2",Official
Japan,Concert,Aug 24-26,iKON,Japan Tour,Fukuoka,Fukuoka Kokusai Center,Yahoo,Official
Japan,Concert,Jan 27-28,VIXX LR,Eclipse,"Fukushima, Osaka",Dojima River Forum,"1, 2. 3, 4",Official
Japan,Fanmeet,May 06,Yuchun (JYJ),‘再会’ 2nd Story,"Hachiōji, Tokyo",Olympus Hall Hachiōji,"1, 2, 3, 4",Official
Japan,Showcase,Jan 23,Twice,Candy Pop,Hiroshima,ALSOK Hall,L-tike,Official
Japan,Fanmeet,May 17,Yuchun (JYJ),‘再会’ 2nd Story,Hiroshima,HBG Hall,"1, 2, 3, 4",Official
Japan,Concert,May 26,GOT7,Eyes on You,Hiroshima,HBG Hall,"1, 2",Official
Japan,Concert,Feb 10,Winner,Japan Tour,"Ichihara, Chiba",Ichiharashi City Hall,T.pia,Official
Japan,Concert,Apr 14,B1A4,TBA,"Ichikawa, Chiba",Ichikawa City Cultural Hall,L.tike,---
Japan,Concert,May 11-13,EXO-CBX,Magical Circus,Kanagawa,Yokohama Arena,"1, 2, 3, 4, 5",Official
Japan,Concert,Apr 27,B1A4,Paradise,"Kariya, Aichi",Kariya Hall,"1, 2, 3, 4",Official
Japan,Concert,Jan 27,Lee Hi,Live,"Kawasaki, Kanagawa",Kawasaki City Hall,"1, 2, 3, 4",Official
Japan,Concert,Mar 10-11,Winner,Japan Tour,"Kawasaki, Kanagawa",Kawasaki City Hall,1 2,Official
Japan,Concert,Jul 14-15,Jaejoong (JYJ),The Reunion in Memory,Kobe,World Memorial Hall,L-tike,---
Japan,Concert,Feb 03,Halo,Lesson 8,"Kobe, Hyogo",Xebec Hall,"1, 2, 2003",Official
Japan,Concert,Feb 25,Winner,Japan Tour,"Kobe, Hyogo",Kobe International House,[TBA](),Official
Japan,Fanmeet,May 11,Yuchun (JYJ),‘再会’ 2nd Story,"Kobe, Hyogo",Kobe Kokusai Hall,"1, 2, 3, 4",Official
Japan,Concert,Jan 25,VIXX LR,Eclipse,"Koto, Tokyo",Zepp Tokyo,"1, 2. 3, 4",Official
Japan,Concert,Feb 15,JBJ,Tokyo Valentine,"Koto, Tokyo",Zepp Tokyo,"1, 2",Official
Japan,Concert,Apr 04,BoA,Unchained,"Koto, Tokyo",Zepp Tokyo,[](),Official
Japan,Concert,Mar 06-07,Seventeen,SVT,"Minami, Nagoya",NGK Hall,L-tike,Official
Japan,Concert,Jan 08,Pentagon,Violet,"Nagoya, Aichi",Zepp Nagoya,"1, 2",Official
Japan,Concert,Jan 12-14,TVXQ,Begin Again,"Nagoya, Aichi",Nagoya Dome Stadium,"1, 2, 2003",Official
Japan,Concert,Feb 14-15,Block B,Montage,"Nagoya, Aichi",Zepp Nagoya,T.pia,Official
Japan,Concert,Mar 23,BoA,Unchained,"Nagoya, Aichi",Zepp Nagoya,[](),Official
Japan,Concert,Mar 31,Winner,Japan Tour,"Nagoya, Aichi",Nagoya Congress Center,[TBA](),Official
Japan,Concert,Apr 05,NCT 127,Chain,"Nagoya, Aichi",Zepp Nagoya,Yahoo,---
Japan,Concert,Apr 27,Monsta X,Piece,"Nagoya, Aichi",Nagoya Congress Center,---,Official
Japan,Fanmeet,May 10,Yuchun (JYJ),‘再会’ 2nd Story,"Nagoya, Aichi",Nagoya Congress Center,"1, 2, 3, 4",Official
Japan,Concert,May 19-20,EXO-CBX,Magical Circus,"Nagoya, Aichi",Nippon Gaishi Hall,"1, 2, 3, 4, 5",Official
Japan,Concert,May 28,GOT7,Eyes on You,"Nagoya, Aichi",Nagoya Congress Center,"1, 2",Official
Japan,Concert,May 30,SF9,MAMMA MIA!,"Nagoya, Aichi",Zepp Nagoya,"1, 2,",Official
Japan,Fanmeet,Jun 02,Yuchun (JYJ),‘再会’ 2nd Story,"Nagoya, Aichi",Forest Hall,"1, 2, 3, 4",Official
Japan,Fanmeet,Jun 08,L (Infinite),2nd Fanmeet ~L~,"Nagoya, Aichi",Zepp Nagoya,L-tike,---
Japan,Fanmeet,Jun 13,N (VIXX),えん返し 2018 Take a trip to Japan,"Nagoya, Aichi",Zepp Nagoya,Rakuten,Official
Japan,Showcase,Jun 19,Taeyeon,Japan Showcase,"Nagoya, Aichi",Nagoya Congress Center,---,Official
Japan,Concert,Jun 30-Jul 01,Jaejoong (JYJ),The Reunion in Memory,"Nagoya, Aichi",Nippon Gaishi Hall,L-tike,---
Japan,Concert,Jun 30-Jul 01,Junho (2PM),TBD,"Nagoya, Aichi",Zepp Nagoya,TBA,Official
Japan,Concert,Jul 10-11,Epik High,We've Done Something Wonderful,"Nagoya, Aichi",ElectricLadyLand,"1, 2",Official
Japan,Concert,Sept 04-05,iKON,Japan Tour,"Nagoya, Aichi",Aichi Gymnasium,Yahoo,Official
Japan,Fanmeet,May 31,Lee Seung Gi,"Nakano, Tokyo",Nakano Sun Plaza,1,---,
Japan,Fanmeet,Feb 24,5urprise,Fanmeeting 2018,"Nakano, Tokyo",Nakano Sun Plaza,"1, 2",---
Japan,Concert,Apr 11-12,B1A4,TBA,"Nakano, Tokyo",Nakano Sun Plaza,L.tike,---
Japan,Concert,Jun 06-07,Chansung (2PM),Complex,"Nakano, Tokyo",Nakano Sun Plaza,"1, 2, 2003",Official
Japan,Concert,Jun 18-20,GOT7,Eyes on You,"Nakano, Tokyo",Nakano Sun Plaza,"1, 2",Official
Japan,Fanmeet,May 19-20,Yuchun (JYJ),‘再会’ 2nd Story,Oita,Iichiko Culture Center,"1, 2, 3, 4",Official
Japan,Showcase,Jan 31-Feb 01,Twice,Candy Pop,"Omiya, Saitama",Sonic City,"1, 2",Official
Japan,Concert,Jan 04,KNK,First Dream,Osaka,Matsushita IMP Hall,"1, 2",Official
Japan,Fanmeet,Jan 06,Yoo Seonho,Seonho's Time,Osaka,Zepp Osaka Bayside,"1, 2",Official
Japan,Concert,Jan 19-21,TVXQ,Begin Again,Osaka,Kyocera Dome Osaka,"1, 2. 3. 4",Official
Japan,Showcase,Jan 25-26,Twice,Candy Pop,Osaka,Osaka Convention Center,"1, 2",Official
Japan,Fanmeet,Jan 27,B.A.P,2018 Fan Meeting,Osaka,Orix Theater,"1, 2, 2003",Official
Japan,Concert,Jan 28,Lee Hi,Live,Osaka,Orix Theater,"1, 2, 3, 4",Official
Japan,Concert,Feb 12,Winner,Japan Tour,Osaka,Festival Hall,T.pia,Official
Japan,Concert,Feb 12-13,Jonghyun (CN Blue),Metropolis,Osaka,Osaka Convention Center,Eplus,Official
Japan,Concert,Feb 17-18,Block B,Montage,Osaka,Zepp Osaka Bayside,T.pia,Official
Japan,Concert,Feb 23-24,EXO,The EℓyXiOn,Osaka,Kyocera Dome Osaka,"1, 2, 2003",Official
Japan,Concert,Feb 27-28,Seventeen,SVT,Osaka,Osaka-Jo Hall,L-tike,Official
Japan,Concert,Mar 30-31,BoA,Unchained,Osaka,Zepp Osaka Bayside,"1, 2",Official
Japan,Concert,Apr 06,NCT 127,Chain,Osaka,Zepp Namba,Yahoo,---
Japan,Concert,Apr 08,HyunA,TBA,Osaka,umeda TRAD,L.tike,---
Japan,Fanmeet,Apr 27,Highlight,”光” ～Hikari～,Osaka,Osaka Intl Convention Center,"1, 2",Official
Japan,Concert,May 04-06,B1A4,Paradise,Osaka,Orix Theater,"1, 2, 3, 4",Official
Japan,Concert,May 05-06,Monsta X,Piece,Osaka,Osaka Intl Convention Center,L-tike,Official
Japan,Fanmeet,May 14-15,Yuchun (JYJ),‘再会’ 2nd Story,Osaka,Orix Theater,"1, 2, 3, 4",Official
Japan,Concert,May 17-18,GOT7,Eyes on You,Osaka,Orix Theater,"1, 2",Official
Japan,Showcase,May 18,Samuel,Japan Showcase,Osaka,BIGCAT,"1, 2, 3, 4",Official
Japan,Concert,May 19,Imfact,Live in Japan,Osaka,MBS Plaza Stage,"1, 2, 2003",Official
Japan,Concert,May 20,U-KISS,～Love IN Kissme～,Osaka,Zepp Osaka Bayside,Yahoo,---
Japan,Concert,May 24-25,Chansung (2PM),Complex,Osaka,Orix Theater,"1, 2, 2003",Official
Japan,Concert,May 29,SF9,MAMMA MIA!,Osaka,Zepp Namba,"1, 2,",Official
Japan,Concert,Jun 02-03,TWICE,Fantasy Park,Osaka,Osaka-Jo Hall,Rakuten,---
Japan,Concert,Jun 07-08,EXO-CBX,Magical Circus,Osaka,Osaka-Jo Hall,"1, 2, 3, 4, 5",Official
Japan,Fanmeet,Jun 11-12,L (Infinite),2nd Fanmeet ~L~,Osaka,Zepp Namba,L-tike,---
Japan,Concert,Jun 14,Day6,The Best Day,Osaka,umeda TRAD,Rakuten,---
Japan,Fanmeet,Jun 14,N (VIXX),えん返し 2018 Take a trip to Japan,Osaka,Zepp Namba,Rakuten,Official
Japan,Fanmeet,Jun 15,Momoland,JAPAN 1st Fanmeeting,Osaka,Zepp Namba,Rakuten,---
Japan,Showcase,Jun 29,Taeyeon,Japan Showcase,Osaka,Orix Theater,---,Official
Japan,Concert,Jul 04-05,Junho (2PM),TBD,Osaka,Orix Theater,TBA,Official
Japan,Concert,Jul 06,UNB,仮,Osaka,Zepp Osaka Bayside,L-tike,Official
Japan,Concert,Jul 08,Epik High,We've Done Something Wonderful,Osaka,Namba Hatch,"1, 2",Official
Japan,Concert,Jul 24-25,Blackpink,Arena Tour,Osaka,Osaka-Jo Hall,"1, 2",Official
Japan,Concert,Aug 02,GFRIEND,SUMMER LIVE IN JAPAN,Osaka,Namba Hatch,L-tike,Official
Japan,Concert,Aug 11,A.C.E,A.C.E LAND in JAPAN,Osaka,Zepp Namba,1,Official
Japan,Concert,Dec 22-23,iKON,Japan Tour,Osaka,Kyocera Dome,Yahoo,Official
Japan,Concert,Jan 27-28,EXO,The EℓyXiOn,Saitama,Saitama Super Arena,"1, 2, 2003",Official
Japan,Concert,Apr 07,B1A4,TBA,"Saitama, Toda",Todashi Bunka Hall,L.tike,---
Japan,Concert,Mar 15,BoA,Unchained,"Sapporo, Hokkaido",Zepp Sapporo,T.pia,Official
Japan,Fanmeet,Jun 10,N (VIXX),えん返し 2018 Take a trip to Japan,"Sapporo, Hokkaido",Zepp Sapporo,Rakuten,Official
Japan,Concert,Jul 08,Jaejoong (JYJ),The Reunion in Memory,Sendai,Xebio Arena Sendai,L-tike,---
Japan,Concert,Jul 15,Epik High,We've Done Something Wonderful,"Sendai, Aoba",Rensa,"1, 2",Official
Japan,Concert,Jun 23,GOT7,Eyes on You,"Sendai, Miyagi",Sendai Sun Plaza,"1, 2",Official
Japan,Showcase,Jan 19,Twice,Candy Pop,"Seto, Aichi",Seto City Cultural Center,L-tike,Official
Japan,Showcase,Jan 29,Twice,Candy Pop,"Shibuya, Tokyo",NHK Hall,L-tike,Official
Japan,Showcase,May 20,Samuel,Japan Showcase,"Shibuya, Tokyo",Yamano Hall,"1, 2, 3, 4",Official
Japan,Concert,Jun 15,Hyolyn,～The Queen is coming～​,"Shibuya, Tokyo",duo MUSIC EXCHANGE,Rakuten,---
Japan,Fanmeet,Jun 18,N (VIXX),えん返し 2018 Take a trip to Japan,"Shibuya, Tokyo",Sakura Hall,Rakuten,Official
Japan,Showcase,Jun 20,Taeyeon,Japan Showcase,"Shibuya, Tokyo",NHK Hall,---,Official
Japan,Concert,May 18,Imfact,Live in Japan,"Shinjuku, Tokyo",Shinjuku FACE,"1, 2, 2003",Official
Japan,Concert,Jul 14,Epik High,We've Done Something Wonderful,"Shinjuku, Tokyo",Shinjuku BLAZE,"1, 2",Official
Japan,Concert,Mar 02,A.C.E.,Sweet Fantasy,"Shinjuku, Toyko",Shinjuku FACE,Yahoo,---
Japan,Fanmeet,May 08,Yuchun (JYJ),‘再会’ 2nd Story,Shizuoka,Shizuoka City Hall,"1, 2, 3, 4",Official
Japan,Fanmeet,May 26-27,Karam (The BOSS),"Shinjuku, Tokyo",Theatre Moliere Shinjuku,Rakuten,---,
Japan,Concert,Jun 01,SF9,MAMMA MIA!,Tokyo,Zepp DiverCity Tokyo,"1, 2,",Official
Japan,Fanmeet,Jun 05-06,L (Infinite),2nd Fanmeet ~L~,Tokyo,Zepp DiverCity Tokyo,L-tike,---
Japan,Concert,Jul 10-11,Junho (2PM),TBD,Tokyo,Zepp DiverCity Tokyo,TBA,Official
Japan,Concert,Aug 09,A.C.E,A.C.E LAND in JAPAN,Tokyo,Zepp Tokyo,1,Official
Japan,Concert,Jul 22,Lee Gikwang Highlight,ONE,"Tokyo, Akasaka",Akasaka Blitz,L-tike,---
Japan,Fanmeet,Mar 03,Golden Child,奇跡,Toyko,Toyosu PIT,T.pia,---
Japan,Concert,May 17-18,Monsta X,Piece,Toyko,Tokyo Intl Forum Hall A,T.pia,Official
Japan,Concert,May 19-20,NCT 127,Chain,Toyko,Toyosu PIT,Yahoo,Official
