Country,Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Argentina,Concert,Jul 15,Got7,Eyes on You,"Buenos Aires, Argentina",DirecTV Arena,TBA,---
Argentina,Concert,July 27,Dreamcatcher,Welcome to the Dream World,"Buenos Aires, Argentina",El Teatro Flores,---,MMT
Argentina,Concert,Aug 08,Monsta X,The Connect,"Buenos Aires, Argentina",Estadio Obras,AllAccess,---
Argentina,Concert,Nov 16,ACE,To Be An ACE,"Buenos Aires, Argentina",El Teatro Flores,Tu Entrada,MyMusicTaste
Australia,Concert,Jul 13,24K,Still with 24U,Auckland,Town Hall,Ticketmaster,Official
Australia,Concert,Jul 05,Kim Kwangseok,Kim Kwangseok with Friends,Chatswood,The Concourse,Ticketek,JK Ent
Australia,Concert,April 26,KARD,Wild KARD,Melbourne,"Plenary, Melbourne Convention and Exhibition Centre",Ticketek,---
Australia,Concert,Jun 02,"Dok2, The Quiett",Illionaire in Australia,Melbourne,Trak Lounge,Moshtix,KpopMe
Australia,Concert,Aug 10,Day6,Youth,Melbourne,Palais Theatre,Ticketmaster,---
Australia,Concert,Aug 17,Wanna One,One : The World,Melbourne,Hisense Arena,[TBA](),IME AU
Australia,Concert,Oct 27,iKon,Continue,"Melbourne, Australia",Festival Hall,Ticketmaster,Official
Australia,Concert,April 29,KARD,Wild KARD,Sydney,UNSW Roundhouse,Ticketek,---
Australia,Concert,Jun 01,"Dok2, The Quiett",Illionaire in Australia,Sydney,Shark Hotel,Moshtix,KpopMe
Australia,Concert,Jul 14,24K,Still with 24U,Sydney,UNSW Roundhouse,Ticketek,Official
Australia,Concert,Oct 25,iKon,Continue,"Sydney, Australia",Big Top Sydney,Venue,Official
Australia,Concert,Aug 12,Day6,Youth,Sydney/Newtown,Enmore Theatre,Ticketmaster,---
Belgium,Concert,Feb 16,The Rose,Paint It Rose,"Brussels, Belgium",La Madeleine,Ticketmaster,MyMusicTaste
Brazil,Concert,May 27,MONT,Tour Mont ~ Sorry,"Belo Horizonte, Brazil",Ouro Minas Palace Hotel,CANCELLED,FB
Brazil,Concert,May 26,MONT,Tour Mont ~ Sorry,"Porto Alegre, Brazil",Teatro CIEE,CANCELLED,FB
Brazil,Concert,May 26,MONT,Tour Mont ~ Sorry,"Recife, Brazil",Theater RioMar Recife,CANCELLED,FB
Brazil,Concert,May 24,MONT,Tour Mont ~ Sorry,"Rio de Janeiro, Brazil",Windsor Florida Hotel,CANCELLED,FB
Brazil,Concert,Jun 15,The Rose,Paint it Rose,"Rio de Janeiro, Brazil",Teatro Odisséia,Sympla,MMT
Brazil,Concert,Aug 11,Monsta X,The Connect,"Sao Paulo, Brazil",Espaco das Americas,Ticket360,---
Brazil,Concert,May 26,MONT,Tour Mont ~ Sorry,"São Paulo, Brazil",Teatro Gamaro,CANCELLED,FB
Brazil,Concert,Jun 13,The Rose,Paint it Rose,"São Paulo, Brazil",Espaco Eventos Hakka,Sympla,MMT
Bulgaria,Concert,Mar 13,HALO,Here I Am,"Sofia, Bulgaria",Universiada Hall,Eventim,Kanzen Music
Bulgaria,Concert,Jul 19,Jang Hanbyul,2018 Europe Tour,"Sofia, Bulgaria",City Stage,Eventim,FB
Canada,Concert,Sep 20,BTS,Love Yourself,"Hamilton, ON",FirstOntario Centre,Ticketmaster,---
Canada,Concert,Sep 22-23,BTS,Love Yourself,"Hamilton, ON",FirstOntario Centre,Ticketmaster,---
Canada,Concert,May 18,Amber,Amber,Toronto,John Bassett Theatre,Eventbee,TKC18
Canada,Concert,May 19,A.C.E.,Sweet Fantasy,Toronto,Metro Toronto Convention Centre,Eventbee,TKC18
Canada,Concert,Jul 03,Got7,Eyes on You,Toronto,Air Canada Centre,Ticketmaster,Subkulture
Canada,Fanmeet,Feb 10,Astro,Global Fan Meeting,"Toronto, ON",John Bassett Theatre,MegaBoxOffice,Facebook
Canada,Concert,Mar 18,Zion.T,Zion.T Live in US & Canada 2018,"Toronto, ON",Queen Elizabeth Theatre,TBA,KpopMe
Canada,Concert,Jun 16,Eric Nam,Honestly,"Toronto, ON",Phoenix Concert Theatre,Ticketmaster,FB
Canada,Concert,Sep 26,Hyukoh,24 Tour,"Toronto, ON",Phoenix Concert Theatre,TicketWeb,FB
