Country,Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
South Korea,Concert,Aug 12-13,"10cm, Cheeze",10cm x Cheeze Concert,Seoul,COEX Art Hall,Interpark,---
South Korea,Concert,Aug 19,Girls Live,"DalShabet, Sonamoo, BerryGood, Dreamcatcher",Seoul,Jangchung Gymnasium,Interpark,---
South Korea,Concert,Aug 19-20,Red Velvet,Red Room,Seoul,Olympic Park Olympic Hall,Yes24,---
South Korea,Concert,Aug 26,Various,Energy Sharing Concert,Seoul,SK Olympic Handball Gymnasium,Interpark,---
South Korea,Concert,Aug 26-27,Taemin (SHINee),Off-Sick,Seoul,Olympic Park Olympic Hall,Yes24,---
South Korea,Concert,Aug 26-27,Taeyang (Big Bang),White Night,Seoul,Jamsil Arena,Auction,---
South Korea,Concert,Aug 26-27,F.T. Island,X,Seoul,Blue Square,Interpark,---
South Korea,Showcase,Aug 31,IZ,Debut Showcase,Seoul,Yes24 Live Hall,Yes24,---
South Korea,Concert,Sep 01-03,Day6,Every DAY6 Concert,Seoul,KT&G SangSang Madang,Yes24,---
South Korea,Concert,Sep 03,Good Day,All Day Good Day,Seoul,Yes24 Live Hall,Yes24,---
South Korea,Fanmeet,Sep 09,Gugudan,Sept. 9th Gugudanjjak,Seoul,Woori Financial Art Hall,Interpark,---
South Korea,Concert,Sep 09,"Heize, Suran, Penomeco",Shinhan Card 'Lead By',Seoul,Fan Square,Interpark,---
South Korea,Concert,Sep 22,Various,BrandNew World,Seoul,Jangchung Gymnasium,Yes24,---
South Korea,Concert,Sep 22,Sechskies,20th Anniversary Concert,Seoul,Gocheok Sky Dome,Auction,---
South Korea,Fanmeet,Sep 23,"Ailee, Na Yoonkwon",The CHEMISTRY,Seoul,Jangchung Gymnasium,Interpark,---
South Korea,Fanmeet,Sep 30 - Oct 01,TVXQ,YouR PresenT,Seoul,Jamsil Arena,Yes24,---
South Korea,Concert,Sep 30,Various,Fandom School KMF,Seoul,Gocheok Sky Dome,Melon,Note: Set list differs per day
South Korea,Concert,Oct 01,Various,Fandom School KMF,Seoul,Gocheok Sky Dome,Melon,Note: Set list differs per day
South Korea,Concert,Oct 14,BewhY,The Blind Star,Seoul,Yes24 Live Hall,Melon,---
South Korea,Concert,Oct 14,Zion.T,Cinema,Seoul,Olympic Park Olympic Hall,Auction,---
