Country,Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Canada,Concert,May 19,The One,Canada Tour Toronto,"North York, ON",Toronto Centre for the Arts,Ticketmaster,FB
Canada,Fanmeet,May 12-13,"BTOB, KARD",Toronto Kpop Con 2017,"Toronto, ON",John Bassett Theatre,TKC,FB
Canada,Concert,Jul 06,"G2, Reddy",Universe x G2's Life Tour,"Toronto, ON",Lee's Palace,---,FB
Canada,Concert,Jul 30,G-Dragon,"Act III, M.O.T.T.E.","Toronto, ON",Air Canada Centre,Ticketmaster,---
Canada,Concert,Aug 25,Seventeen,Diamond Edge,"Toronto, ON",Massey Hall,Venue Site,Site
Canada,Concert,Sep 08,Hyukoh,tour',"Toronto, ON",The Opera House,Ticketfly,FB
Canada,Concert,Oct 27,VIXX,Shangri-La,"Toronto, ON",John Bassett Theatre,Eventbee,FB
Canada,Fanmeet,Oct 29,DAY6,Live & Meet,"Toronto, ON",John Bassett Theatre,Eventbrite,Site
Canada,Concert,Jul 01,"G2, Reddy",Universe x G2's Life Tour,"Vancouver, BC",Privé Nightclub,Eventbrite,FB
Canada,Concert,Sep 14,Taeyang,White Night,"Vancouver, BC",Orpheum,MegaBoxOffice,Site
Canada,Festival,Sept 14-15,"Hyukoh, Taeyeon",Albatross Music Festival,"Vancouver, BC",Hastings Racecourse,TicketZone,Site
Canada,Concert,Sep 15,Taeyang,White Night,"Vancouver, BC",Orpheum,MegaBoxOffice,Site
Canada,Concert,Oct 29,VIXX,Shangri-La,"Vancouver, BC",Hard Rock Casino Vancouver,Ticketmaster,FB
Canada,Concert,Wed,May 03,K.A.R.D,Wild Kard,"Vancouver, BC",Harbour Event Centre,Eventbee
Chile,Concert,Aug 29,Seventeen,Diamond Edge,"Santiago, Chile",Movistar Arena,Punto Ticket,Site
Chile,Concert,Sep 14,Monsta X,Beautiful,"Santiago, Chile",Movistar Arena,---,MyMusicTaste
Czech,Concert,May 26,Grace,K-Pop K-Hiphop Party,"Prague, Czech Republic",Style Dance Club,---,FB
Finland,Concert,Sun,Feb 26,Block B,Live Blockbuster,"Helsinki, Finland",The Circus,MyMusicTaste
France,Concert,Aug 09,Monsta X,Beautiful in Europe,"Paris, France",L'Olympia Bruno Coquatrix,MyMusicTaste,---
France,Concert,Sep 28,G-Dragon,"Act III, M.O.T.T.E.","Paris, France",AccorHotels Arena,Ticketmaster,---
France,Concert,Oct 27,F.T. Island,Live [X],"Paris, France",Élysée Montmartre,MyMusicTaste,MyMusicTaste
France,Concert,Oct 29,Hyukoh,tour',"Paris, France",YOYO Palais de Tokyo,Ticketmaster,FB
France,Concert,Wed,May 03,B.A.P.,Party Baby,"Paris, France",Le Zénith Paris,Weezevent
Germany,Concert,Aug 11,Monsta X,Beautiful in Europe,"Berlin, Germany",Tempodrom,MyMusicTaste,---
Germany,Concert,Sep 30,G-Dragon,"Act III, M.O.T.T.E.","Berlin, Germany",Mercedes-Benz Arena,LiveNation,---
Germany,Concert,May 20,Grace,K-Pop K-Hiphop Party,"Düsseldorf, Germany",Schlösser Quartier Bohème,Ticket Tailor,FB
Germany,Concert,May 27,Grace,K-Pop K-Hiphop Party,"Hamburg, Germany",Club Hamburg,---,FB
Hong Kong,Concert,May 13,BTS,Ep. III The Wings Tour,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
Hong Kong,Concert,May 20,SHINee,SHINee World V,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
Hong Kong,Concert,Jun 10,Taeyeon,PERSONA,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
Hong Kong,Concert,Jun 11,Taeyeon,PERSONA,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
Hong Kong,Concert,Aug 12,Seventeen,Diamond Edge,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,---,---
Hong Kong,Concert,Aug 19-20,CN Blue,Between Us,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
Hong Kong,Concert,Aug 25-26,G-Dragon,"ACT III, M.O.T.T.E","Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
Hong Kong,Concert,Nov 25,IU,팔레트 (Palette),"Chek Lap Kok, Hong Kong",AsiaWorld Arena,CityLine,---
Hong Kong,Concert,May 20,T-ara,Live in Macau,"Estr. Flor de Lotus, Macau",Studio City Event Center,HK Ticketing,---
Hong Kong,Concert,May 13,"Kush, Zion.T",‘OO’ Live,"Kowloon Bay, Hong Kong",Kowloon Bay Exhibition Centre,HK Ticketing,---
Hong Kong,Concert,May 21,B1A4,Live Space in Hong Kong,"Kowloon Bay, Hong Kong",Kowloon Bay Exhibition Centre,HK Ticketing,---
Hungary,Concert,Oct 22,F.T. Island,Live [X],"Budapest, Hungary",Barba Negra Music Club,Tixa,MyMusicTaste
Hungary,Concert,Fri,Mar 03,Block B,Live Blockbuster,"Budapest, Hungary",Hung Expo,MyMusicTaste
Hungary,Concert,Sun,May 07,B.A.P.,Party Baby,"Budapest, Hungary",Barba Negra Track,Tixa
Indonesia,Fanmeet,Jul 29,VIXX,Fan Meeting in SE-Asia,"Jakarta, Indonesia",Kasablanka,MyMusicTaste,---
Indonesia,Concert,Sep 03,G-Dragon,"Act III, M.O.T.T.E.","Jakarta, Indonesia",Indonesia Convention Exhibition,Jd.id,---
Indonesia,Concert,Sep 23,Seventeen,Diamond Edge,"Jakarta, Indonesia",Indonesia Convention Exhibition,---,MyMusicTaste
Italy,Concert,Sep 08,K.A.R.D,Wild Kard Tour,"Milan, Italy",Magazzini Generali,CiaoTickets,FB
Japan,Concert,Jul 26,Apink,3rd Japan Tour「3years」,Aichi,Zepp Nagoya,L-tike,Site
Japan,Concert,Sep 21,F.T. Island,Here is Paradise,Aichi,Nagoya International Center,T.pia,---
Japan,Concert,Oct 17,iKON,iKON Japan Dome Tour,Aichi,Nippon Gaishi Hall,T.pia,---
Japan,Concert,Nov 21-22,Got7,TBD,Aichi,Zepp Nagoya,Eplus,Site
Japan,Concert,Aug 19,G-Dragon,"Act III, M.O.T.T.E.",Fukuoka,Fukuoka Yafuoku! Dome,Ltike,---
Japan,Concert,Sep 13,F.T. Island,Here is Paradise,Fukuoka Prefecture,Fukuoka Sun Palace Hotel,T.pia,---
Japan,Fanmeet,May 27,Bigbang,Bigbang Special Event 2017,"Fukuoka, Japan",Fukuoka Yafuoku! Dome,---,YGEX
Japan,Concert,Sep 12,F.T. Island,Here is Paradise,Hiroshima,HBG Hall,T.pia,---
Japan,Concert,Oct 07-08,iKON,iKON Japan Dome Tour,Hiroshima,Hiroshima Green Arena,T.pia,---
Japan,Concert,Nov 3,Got7,TBD,Hokkaido,Zepp Sapporo,Eplus,Site
Japan,Concert,Nov 11-12,Got7,TBD,Hokkaido,Fukuoka Sun Palace Hotel & Hall,Eplus,Site
Japan,Concert,Jul 22,Apink,3rd Japan Tour「3years」,Hyogo,Kobe International House,L-tike,Site
Japan,Concert,Jul 30,Apink,3rd Japan Tour「3years」,Kanagawa,Pacifico Yokohama National Convention Hall,L-tike,Site
Japan,Concert,Sep 24,Various,10th Anniversary KMF 2017,Kanagawa,Yokohama Arena,T.pia,Site
Japan,Fanmeet,Oct 29,KNK,1st Fan Meeting,Kanagawa,Kawasaki Civic Auditorium,Eplus,Site
Japan,Concert,Sep 23,F.T. Island,Here is Paradise,Miyagi Prefecture,Sendai Sun Plaza,T.pia,---
Japan,Concert,Jul 23 - 24,VIXX,2017 Japan Tour,Osaka,Osaka International Convention Center,Eplus,Site
Japan,Concert,Aug 03-04,Pentagon,Tentastic Live,Osaka,Zepp Osaka Bayside,T.pia,Site
Japan,Concert,Aug 04,SF9,Fanfare,Osaka,Zepp Osaka Bayside,T.pia,---
Japan,Concert,Aug 05,B.A.P,Party Baby,Osaka,Dojima River Forum,Eplus,Site
Japan,Concert,Aug 06,Mamamoo,Purple,Osaka,Dojima River Forum,"Interpark, Eplus",Site
Japan,Concert,Aug 22-23,G-Dragon,"Act III, M.O.T.T.E.",Osaka,Kyocera Dome,Ltike,---
Japan,Concert,Aug 22,Jessica,On Cloud Nine,Osaka,Orix's Theater,Eplus,Site
Japan,Concert,Aug 24-25,Astro,The 1st ASTROAD,Osaka,Zepp Osaka Bayside,Eplus,Site
Japan,Concert,Sep 25-26,F.T. Island,Here is Paradise,Osaka,Orix Theater,T.pia,---
Japan,Fanmeet,Oct 27,KNK,1st Fan Meeting,Osaka,Zepp Namba,Eplus,Site
Japan,Concert,Nov 24-26,Got7,TBD,Osaka,Zepp Namba,Eplus,Site
Japan,Fanmeet,Jun 03,Bigbang,Bigbang Special Event 2017,"Osaka, Japan",Kyocera Dome Osaka,---,YGEX
Japan,Fanmeet,Jun 04,Bigbang,Bigbang Special Event 2017,"Osaka, Japan",Kyocera Dome Osaka,---,YGEX
Japan,Concert,Jul 26-27,Seventeen,Diamond Edge,Saitama,Saitama Super Arena,T.pia,---
Japan,Concert,Jul 01-02,BTS,The Wings Tour,Sapporo,Makomanai Ice Arena,L-tike,---
Japan,Concert,Oct 14,iKON,iKON Japan Dome Tour,Shizuoka,Shizuoka Ecopa Arena,T.pia,---
Japan,Showcase,Jul 20,Blackpink,Premium Showcase,Tokyo,Nippon Budokan,L-tike,---
Japan,Fanmeet,Jul 22,Oh My Girl,Coloring Summer,Tokyo,TFT Hall,L-tike,Site
Japan,Concert,Aug 02,SF9,Fanfare,Tokyo,Toyosu PIT,T.pia,---
Japan,Concert,Aug 09,B.A.P,Party Baby,Tokyo,Zepp Tokyo,Eplus,Site
Japan,Concert,Aug 17,"Hyukoh, K.A.R.D",Summer Sonic 2017,Tokyo,Space Odd,Eplus,Site
Japan,Concert,Aug 24,Jessica,On Cloud Nine,Tokyo,Tokyo International Forum Hall A,Eplus,Site
Japan,Concert,Aug 25,Myname,Live 2017,Tokyo,Tokyo International Forum Hall A,Eplus,Site
Japan,Concert,Aug 26-27,Various,A-nation,Tokyo,Ajinomoto Stadium,T.pia,---
Japan,Concert,Aug 28-29,ASTRO,The 1st ASTROAD,Tokyo,Zepp Tokyo,Eplus,Site
Japan,Concert,Nov 16-18,Got7,TBD,Tokyo,Zepp DiverCity,Eplus,Site
Japan,Concert,Dec 21-22,Got7,TBD,Tokyo,Nippon Budokan,Eplus,Site
Japan,Fanmeet,May 30,Bigbang,Bigbang Special Event 2017,"Tokyo, Japan",Tokyo Dome,---,YGEX
Japan,Fanmeet,May 31,Bigbang,Bigbang Special Event 2017,"Tokyo, Japan",Tokyo Dome,---,YGEX
Japan,Concert,Aug 07-08,Pentagon,Tentastic Live,Toyko,Toyosu PIT,T.pia,Site
Japan,Concert,Sep 06-07,T2U (Block B),T 2 u (To You),Toyko,Shibuya WWW X,T.pia,---
Japan,Fanmeet,Sep 17,K.Will,Japan Fan Meeting,Toyko,Toyosu PIT,T.pia,---
Japan,Concert,Sep 18,Nine Muses,Identify,Toyko,Astro Hall,T.pia,---
Japan,Concert,Sep 19-20,G-Dragon,"Act III, M.O.T.T.E.",Toyko,Toyko Dome,Ltike,---
Japan,Concert,Sep 23,Laboum,Blitz Special talk & live,Toyko,Akasaka Blitz,T.pia,---
Japan,Concert,Sep 27-29,F.T. Island,Here is Paradise,Toyko,[TBA],T.pia,---
Japan,Concert,Aug 07,B.A.P,Party Baby,,Zepp Nagoya,Eplus,Site
Macau,Concert,Aug 26,AOMG,Follow the Movement,"Estr. Flor de Lotus, Macau",Studio City Event Center,HK Ticketing,---
Malaysia,Fanmeet,Jul 27,VIXX,Fan Meeting in SE-Asia,"Kuala Lumpur, Malaysia",KL LIVE,Galactix,---
Malaysia,Concert,Sep 09,Seventeen,Diamond Edge,"Kuala Lumpur, Malaysia",Stadium Negara,---,---
Malaysia,Concert,Sep 17,G-Dragon,"Act III, M.O.T.T.E.","Kuala Lumpur, Malaysia",Stadium Merdeka,TicketCharge,---
Mexico,Concert,Aug 13,JJCC,Live Tour,Mexico City,Sala Corono,KpopTickets,Site
Mexico,Concert,Sep 17,Monsta X,Beautiful,"Mexico City, Mexico",Auditorio BlackBerry,Ticketmaster,MyMusicTaste
Mexico,Concert,Sep 28,24K,Still with 24U,"Mexico City, Mexico",Auditorio BlackBerry,Ticketmaster,
Netherlands,Concert,Sep 26,G-Dragon,"Act III, M.O.T.T.E.","Amsterdam, Netherlands","Ziggo Dome,",Ticketmaster,---
Netherlands,Concert,Oct 26,F.T. Island,Live [X],"Amsterdam, Netherlands",The Box,MyMusicTaste,MyMusicTaste
Netherlands,Concert,Nov 01,Hyukoh,tour',"Amsterdam, Netherlands",Q-Factory,Ticketmaster,FB
Netherlands,Concert,Fri,Feb 24,Block B,Live Blockbuster,"Amsterdam, Netherlands",The Box,MyMusicTaste
Netherlands,Concert,Sep 10,K.A.R.D,Wild Kard Tour,"Rotterdam, Netherlands",Annabel,Ticketscript,FB
New Zealand,Concert,Aug 16,G-Dragon,"Act III, M.O.T.T.E.","Auckland, NZ",Spark Arena,Ticketmaster,---
Peru,Concert,Aug 20,JJCC,Live Tour,"Lima, Peru",Discoteca Mango's,KpopTickets,Site
Peru,Concert,Oct 06,K.A.R.D,Wild Kard Pt.2,"Lima, Peru",Jockey Club,Teleticket,MyMusicTaste
Philipines,Concert,Sep 01,G-Dragon,"Act III, M.O.T.T.E.","Manila, Philippines",Smart Araneta Coliseum,Ticketmaster,---
Philipines,Concert,Oct 06,Seventeen,Diamond Edge,"Manila, Philippines",Mall of Asia Arena,---,---
Poland,Concert,Sat,May 06,B.A.P.,Party Baby,"Warsaw, Poland",Progresja,---
Poland,Concert,Jun 03,Grace,K-Pop K-Hiphop Party,"Warsaw, Poland",VooDoo Club,---,FB
Poland,Concert,Oct 24,F.T. Island,Live [X],"Warsaw, Poland",Palladium,GoOut,MyMusicTaste
Portugal,Concert,Sep 03,K.A.R.D,Wild Kard Tour,"Lisbon, Portugal",Sala Time Out,Ticketline,FB
Portugal,Concert,Tue,Feb 28,Block B,Live Blockbuster,"Lisboa, Portugal",LxFactory,MyMusicTaste
Puerto Rico,Concert,Aug 18,JJCC,Live Tour,"San Juan, Puerto Rico",Centro de Bellas Artes Luis A. Ferre,KpopTickets,Site
Russia,Concert,Jun 04,Grace,K-Pop K-Hiphop Party,"Moscow, Russia",Клуб ЛЕС,---,VK
Russia,Concert,Aug 13,Monsta X,Beautiful in Europe,"Moscow, Russia",Stadium Live,MyMusicTaste,---
