Country,Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map
Australia,Concert,Feb 21,Stray Kids,I Am,Melbourne VIC,Festival Hall
Australia,Concert,Mar 11,Eric Nam,I Color U,Melbourne VIC,170 Russell
Australia,Concert,Jun 08,Monsta X,We Are Here,Melbourne VIC,[TBD]()
Australia,Concert,Jun 13,Blackpink,In Your Area,Melbourne VIC,Rod Laver Arena
Australia,Concert,Sept 01,Dreamcatcher,Invitation from Nightmare City,"Melbourne, Australia",170 Russell
Australia,Concert,Feb 24,Stray Kids,I Am,Milsons Point NSW,Big Top Sydney
Australia,Concert,Mar 08,Eric Nam,I Color U,Newstead QLD,The Triffid
Australia,Concert,Aug 29,Dreamcatcher,Invitation from Nightmare City,"NSW, Australia",Factory Theatre
Australia,Concert,Apr 26,Sik-K,FL1P Sik-K,St Kilda VIC,Prince Bandroom
Australia,Concert,Mar 10,Eric Nam,I Color U,Sydney NSW,Metro Theatre
Australia,Concert,Apr 28,Sik-K,FL1P Sik-K,Sydney NSW,Metro Theatre
Australia,Concert,Jun 05,Monsta X,We Are Here,Sydney NSW,[TBD]()
Australia,Concert,Jun 15,Blackpink,In Your Area,Sydney Olympic Park NSW,Qudos Bank Arena
Belgium,Concert,Mar 01,A.C.E.,To Be An Ace,"Brussels, Belgium",La Madeleine
Belgium,Concert,Mar 16,Epik High,sleepless in __________,"Brussels, Belgium",La Madeleine
Belgium,Concert,Jun 16,Eric Nam,I Color U,"Brussels, Belgium",La Madeleine
Brazil,Concert,Jan 31,Oh My Girl,Tour in Brazil,"Curitiba, Brazil",Teatro da FEP
Brazil,Concert,Jan 30,Oh My Girl,Tour in Brazil,"Porto Alegre, Brazil",Auditório Elizabeth Lee
Brazil,Concert,Jan 29,Oh My Girl,Tour in Brazil,"Rio de Janeiro, Brazil",Teatro Dercy Gonçalves
Brazil,Concert,Feb 03,Oh My Girl,Tour in Brazil,"São Paulo, Brazil",Teatro UMC
Brazil,Concert,May 25,BTS,Love Yourself: Speak Yourself,"São Paulo, Brazil",Allianz Parque
Brazil,Concert,Jul 19,Monsta X,We Are Here,"São Paulo, Brazil",Espaço das Américas
Brazil,Concert,Sep 15,Pentagon,PRISM,"São Paulo, Brazil",Tropical Butantã
Canada,Concert,Mar 13,Sunmi,Warning,"Calgary, AB",The Palace Theatre
Canada,Concert,Mar 16,Sunmi,Warning,"Calgary, AB",Queen Elizabeth Theatre
Canada,Concert,Apr 27,Blackpink,In Your Area,"Hamilton,ON",First Ontario Centre
Canada,Concert,Sept 05,Dok2Gonzo,Thunderground,"Montréal, QC",L'Astral
Canada,Concert,Mar 03,Tiffany Young,Lips on Lips,Toronto,Mod Club Theatre
Canada,Concert,Jan 27,Winner,Everwhere,"Toronto, ON",Sony Centre
Canada,Concert,Apr 04,Epik High,sleepless in __________,"Toronto, ON",Phoenix Concert Theatre
Canada,Concert,Apr 18,Sik-K,FL1P Sik-K,"Toronto, ON",Danforth Music Hall
Canada,Concert,Apr 25,VAV,Meet & Live Tour,"Toronto, ON",Bluma Appel Theatre
Canada,Concert,May 17,NCT127,NeoCity: The Origin,"Toronto, ON",Coca-Cola Coliseum
Canada,Concert,Sep 03,Pentagon,PRISM,"Toronto, ON",Phoenix Concert Theatre
Canada,Concert,Sept 08,Dok2Gonzo,Thunderground,"Toronto, ON",Mod Club Theatre
Canada,Concert,Nov 04,Tiffany Young,Magnetic Moon,"Toronto, ON",Danforth Music Hall
Canada,Concert,Mar 11,Sunmi,Warning,"Vancouver, BC",Vogue Theater
Canada,Concert,Mar 13,Tiffany Young,Lips on Lips,"Vancouver, BC",Venue
Canada,Concert,Apr 20,Sik-K,FL1P Sik-K,"Vancouver, BC",Vogue Theater
Canada,Concert,May 02-03,Epik High,sleepless in __________,"Vancouver, BC",Vogue Theater
Canada,Concert,May 19,NCT127,NeoCity: The Origin,"Vancouver, BC",Pacific Coliseum
Canada,Concert,Sept 01,Dok2Gonzo,Thunderground,"Vancouver, BC",Venue Nightclub
Canada,Concert,Oct 27,Tiffany Young,Magnetic Moon,"Vancouver, BC",Vogue Theatre
Czech,Concert,Feb 24,Park Jungmin,Europe Tour,"Prague, Czechia",Image Theater
Czech,Concert,Apr 05,Seven O'Clock,The Beginning,"Prague, Czechia",Klub Nová Chmelnice
Czech,Workshop,Apr 22,Alphabat,The Revival,"Prague, Czechia",Dance Studio
Czech,Concert,Apr 23,Alphabat,The Revival,"Prague, Czechia",Nova Chmelnice
Czech,Concert,Jun 10,Eric Nam,I Color U,"Prague, Czechia",Lucerna Music Bar
Finland,Concert,Mar 14,Epik High,sleepless in __________,"Helsinki, Finland",The Circus
France,Concert,Jan 27,Day6,Youth,"Paris, France",Casino de Paris
France,Concert,Jan 27,Day6,Youth,"Paris, France",Casino de Paris
France,Concert,Feb 13,PLT,We Go Holic,"Paris, France",Bataclan
France,Concert,Feb 22,A.C.E.,To Be An Ace,"Paris, France",Bataclan
France,Concert,Mar 17,Epik High,sleepless in __________,"Paris, France",Yoyo Palais de Tokyo
France,Concert,Mar 17-18,Sik-K,FL1P Sik-K,"Paris, France",Le Trabendo
France,Concert,Mar 22,Bang Yongguk,European Tour,"Paris, France",Glazart
France,Concert,Apr 07,Ateez,Expedition,"Paris, France",Le Bataclan
France,Concert,Apr 21,M.O.N.T,Will You Be My Mint,"Paris, France",[TBD]()
France,Concert,Apr 27,Sam Kim,Sun and Moon,"Paris, France",Le Trabendo
France,Concert,May 09,SF9,Unlimited,"Paris, France",Casino de Paris
France,Concert,May 26,Blackpink,In Your Area,"Paris, France",Zenith Paris - La Villette
France,Concert,Jun 18,Eric Nam,I Color U,"Paris, France",Le Trabendo
France,Concert,Jul 06,Monsta X,We Are Here,"Paris, France",[TBD]()
France,Concert,Sept 21,Dok2Gonzo,Thunderground,"Paris, France",Trabendo
France,Concert,Oct 25,Pentagon,PRISM,"Paris, France",Le Bataclan
France,Concert,Jun 07-08,BTS,Love Yourself : Speak Yourself,"Saint-Denis, France",Stade de France
Germany,Concert,Jan 22,Day6,Youth,"Berlin, Germany",Columbiahalle
Germany,Concert,Jan 22,Day6,Youth,"Berlin, Germany",Columbiahalle
Germany,Concert,Feb 15,PLT,We Go Holic,"Berlin, Germany",Columbia Theater
Germany,Concert,Feb 24,A.C.E.,To Be An Ace,"Berlin, Germany",Kesselhaus
Germany,Concert,Mar 13,Epik High,sleepless in __________,"Berlin, Germany",Kesselhaus
Germany,Concert,Mar 21,Sik-K,FL1P Sik-K,"Berlin, Germany",Columbia Theater
Germany,Concert,Apr 09,Ateez,Expedition,"Berlin, Germany",Astra Kulturhaus
Germany,Concert,Apr 19,IMFACT,European Tour,"Berlin, Germany",Kesselhaus
Germany,Concert,Apr 30,Sam Kim,Sun and Moon,"Berlin, Germany",Columbia Theater
Germany,Concert,May 05,SF9,Unlimited,"Berlin, Germany",Astra Kulturhaus
Germany,Concert,May 24,Blackpink,In Your Area,"Berlin, Germany",Max-Schmeling-Halle
Germany,Concert,Jun 13,Eric Nam,I Color U,"Berlin, Germany",Lido
Germany,Concert,Jul 13,Monsta X,We Are Here,"Berlin, Germany",[TBD]()
Germany,Concert,Sept 19,Dok2Gonzo,Thunderground,"Berlin, Germany",Columbia Theater
Germany,Concert,Oct 22,Pentagon,PRISM,"Berlin, Germany",Astra Kulturhaus
Germany,Concert,Apr 17,Alphabat,The Revival,"Bochum, Germany",Matrix Bochum
Germany,Concert,Feb 20,Park Jungmin,Europe Tour,"Cologne, Germany",Bogen 2
Germany,Concert,Mar 29,Bang Yongguk,European Tour,"Cologne, Germany",Bogen 2
Germany,Concert,Apr 15,M.O.N.T,Will You Be My Mint,"Cologne, Germany",[TBD]()
Germany,Concert,Apr 16,IMFACT,European Tour,"Cologne, Germany",Die Kantine
Germany,Concert,May 19,Ju Won Tak,European Tour,"Cologne, Germany",TBD
Germany,Concert,Jun 15,Eric Nam,I Color U,"Cologne, Germany",Die Kantine
Germany,Concert,Apr 10,Seven O'Clock,The Beginning,"Dusseldorf, Germany",TBD
Greece,Concert,Apr 21,IMFACT,European Tour,"Tavros, Greece",Fuzz Club
Hong Kong,Fanmeet,Mar 09,Kim Jae Joong JYJ,J-Party,---,Asia World-Expo Arena
Hong Kong,Fanmeet,Mar 10,Lee Joonggi,Delight,---,Asia World-Expo Arena
