Country,Type,Date,Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Taiwan,Concert,2020-11-28 00:00:00,B.O.Y,Best Of You,Taipei,ATT Show Box Dazhi,,
Thailand,Concert,2020-01-11 00:00:00,Winner,Cross,Bangkok,Thunder Dome,,
Thailand,Concert,2020-01-15 00:00:00,Eric Nam,Before We Begin,Bangkok,Live RCA,,
Thailand,Concert,2020-01-18 00:00:00,Various,Applewood Festa - Keep Going,Bangkok,Impact Arena,,
Thailand,Concert,2020-01-25 00:00:00,Jung Yonghwa CN Blue,2020 Live,Bangkok,Thunder Dome,,
Thailand,Fanmeet,2020-02-15 00:00:00,Ong Seongwu,We Belong,Bangkok,Thunder Dome,,
UnitedKingdom,Concert,2020-01-12 00:00:00,Day6,Gravity,"London, UK",O2 Academy Brixton,,
UnitedKingdom,Concert,2020-02-23 00:00:00,ONE,PRVT ONLY,"London, UK",XOYO,,
USA,Concert,2020-01-10 00:00:00,Seventeen,Ode to You,"Newark, NJ",Prudential Center,,
USA,Concert,2020-01-12 00:00:00,Seventeen,Ode to You,"Chicago, Illinois",United Center,,
USA,Concert,2020-01-14 00:00:00,Seventeen,Ode to You,"Irving, TX",LiveNation Pavilion,,
USA,Concert,2020-01-15 00:00:00,Seventeen,Ode to You,"Sugar Land, TX",Smart Financial Centre,,
USA,Concert,2020-01-19 00:00:00,Seventeen,Ode to You,"Inglewood, CA",The Forum,,
USA,Concert,2020-01-21 00:00:00,Seventeen,Ode to You,"San Jose, CA",SAP Center,,
USA,Concert,2020-01-23 00:00:00,Seventeen,Ode to You,"Kent, WA",ShoWare Center,,
USA,Concert,2020-01-24 00:00:00,BewhY,The Movie Star,"Atlanta, GA",Center Stage,,
USA,Concert,2020-01-26 00:00:00,BewhY,The Movie Star,"Dallas, TX",Canton Hall,,
USA,Concert,2020-01-28 00:00:00,BewhY,The Movie Star,"Houston, TX",White Oak Music Hall,,
USA,Concert,2020-01-29 00:00:00,BewhY,The Movie Star,"Berkeley, CA",UC Theatre,,
USA,Concert,2020-01-29 00:00:00,Stray Kids,District 9 Unlock,"New York, NY",Hulu Theater,,
USA,Concert,2020-01-30 00:00:00,BewhY,The Movie Star,"Los Angeles, CA",Theatre at Ace Hotel,,
USA,Concert,2020-01-31 00:00:00,Stray Kids,District 9 Unlock,"Atlanta, GA",Fox Theatre,,
USA,Concert,2020-02-02 00:00:00,Stray Kids,District 9 Unlock,"Grand Prairie, TX",Theater at Grand Prairie,,
USA,Concert,2020-02-05 00:00:00,Stray Kids,District 9 Unlock,"Rosemont, IL",Rosemont Theatre,,
USA,Concert,2020-02-07 00:00:00,Stray Kids,District 9 Unlock,"Coral Gables, FL",Watsco Center,,
USA,Concert,2020-02-08 00:00:00,Eric Nam,BEFORE WE BEGIN,"Houston, TX",House of Blues,,
USA,Concert,2020-02-09 00:00:00,Amber Liu,Tour X,"Pittsburg, PA",Rex Theater,,
USA,Concert,2020-02-09 00:00:00,BewhY,The Movie Star,"New York, NY",Mission NYC,,
USA,Concert,2020-02-09 00:00:00,Stray Kids,District 9 Unlock,"Phoenix, AZ",Arizona Federal Theatre,,
USA,Concert,2020-02-10 00:00:00,Eric Nam,BEFORE WE BEGIN,"Nashville, TN",The Basement East,,
USA,Concert,2020-02-11 00:00:00,Amber Liu,Tour X,"Detroit, MI",Saint Andrew’s Hall,,
USA,Concert,2020-02-12 00:00:00,Eric Nam,BEFORE WE BEGIN,"Orlando, FL",The Beacham,,
USA,Concert,2020-02-13 00:00:00,Amber Liu,Tour X,"Columbus, Ohio",Newport Music Hall,,
USA,Concert,2020-02-13 00:00:00,Eric Nam,BEFORE WE BEGIN,"Atlanta, GA",Tabernacle,,
USA,Concert,2020-02-13 00:00:00,Stray Kids,District 9 Unlock,"San Jose, CA",Provident Credit Union Event Center,,
USA,Concert,2020-02-14 00:00:00,Amber Liu,Tour X,"Atlanta, GA",The Masquerade,,
USA,Concert,2020-02-14 00:00:00,Monsta X,Takes Over Los Angeles,"Los Angeles, CA",The Roxy Theatre,,
USA,Concert,2020-02-14 00:00:00,VAV,Grand America,"San Francisco, CA",Cowell Theatre,,
USA,Concert,2020-02-15 00:00:00,Eric Nam,BEFORE WE BEGIN,"Raleigh, NC",Lincoln Theatre,,
USA,Concert,2020-02-16 00:00:00,Amber Liu,Tour X,"Dallas, TX",South Side Music Hall,,
USA,Concert,2020-02-16 00:00:00,Eric Nam,BEFORE WE BEGIN,"Silver Spring, MD",The Fillmore Silver Spring,,
USA,Concert,2020-02-16 00:00:00,Stray Kids,District 9 Unlock,"Los Angeles, CA",Microsoft Theater,,
USA,Concert,2020-02-16 00:00:00,VAV,Grand America,"Chicago, IL",Concord Music Hall,,
USA,Concert,2020-02-17 00:00:00,Amber Liu,Tour X,"Houston, TX",House of Blues,,
USA,Concert,2020-02-17 00:00:00,VAV,Grand America,"New York, NY",Melrose Ballroom,,
USA,Concert,2020-02-18 00:00:00,Amber Liu,Tour X,"Austin, TX",Scoot Inn Austin,,
USA,Concert,2020-02-18 00:00:00,Eric Nam,BEFORE WE BEGIN,"New York, NY",Webster Hall,,
USA,Concert,2020-02-21 00:00:00,Amber Liu,Tour X,"Los Angeles, CA",The Wiltern,,
USA,Concert,2020-02-21 00:00:00,Eric Nam,BEFORE WE BEGIN,"Boston, MA",Royale,,
USA,Concert,2020-02-21 00:00:00,VAV,Grand America,"Dallas, TX",South Side Music Hall,,
USA,Concert,2020-02-22 00:00:00,Amber Liu,Tour X,"San Diego, CA",Music Box,,
USA,Concert,2020-02-22 00:00:00,Eric Nam,BEFORE WE BEGIN,"Philadelphia, PA",Union Transfer,,
USA,Concert,2020-02-23 00:00:00,VAV,Grand America,"Atlanta, GA",The Masquerade,,
USA,Concert,2020-02-25 00:00:00,Eric Nam,BEFORE WE BEGIN,"Detroit, MI",Saint Andrew’s Hall,,
USA,Concert,2020-02-26 00:00:00,Eric Nam,BEFORE WE BEGIN,"Indianapolis, IN",Deluxa at Old National Centre,,
USA,Concert,2020-02-28 00:00:00,Eric Nam,BEFORE WE BEGIN,"Chicago, IL",Vic Theatre,,
USA,Concert,2020-02-29 00:00:00,Eric Nam,BEFORE WE BEGIN,"ST. Paul, MN",Palace Theatre,,
USA,Concert,2020-03-05 00:00:00,Eric Nam,BEFORE WE BEGIN,"Seattle, WA",Neptune Theatre,,
USA,Concert,2020-03-06 00:00:00,1TEAM,Hello! Just One,"Chicago, IL",Avondale Music Hall,,
USA,Concert,2020-03-06 00:00:00,Everglow,Everlasting,"Dallas, TX",South Side Music Hall,,
USA,Concert,2020-03-07 00:00:00,Eric Nam,BEFORE WE BEGIN,"Portland, OR",Wonder Ballroom,,
USA,Concert,2020-03-08 00:00:00,1TEAM,Hello! Just One,"New York, NY",Music Hall of Williamsburg,,
USA,Concert,2020-03-08 00:00:00,Everglow,Everlasting,"Atlanta, GA",Center Stage,,
USA,Concert,2020-03-10 00:00:00,1TEAM,Hello! Just One,"Atlanta, GA",The Masquerade Hell,,
USA,Concert,2020-03-10 00:00:00,Eric Nam,BEFORE WE BEGIN,"San Francisco, CA",The Warfield,,
USA,Concert,2020-03-10 00:00:00,NCT 127,Houston Rodeo w/ NCT 127,"Houston, TX",NRG Stadium,,
USA,Concert,2020-03-11 00:00:00,Everglow,Everlasting,"Chicago, IL",Vic Theatre,,
USA,Concert,2020-03-13 00:00:00,Everglow,Everlasting,"Jersey City, NJ",White Eagle Hall,,
USA,Concert,2020-10-11 00:00:00,ONE,PRVT ONLY,"Los Angeles, CA",The Moroccan Lounge,,
USA,Concert,2020-10-15 00:00:00,ONE,PRVT ONLY,"Brooklyn, NY",Zone One Elsewhere,,
USA,Fanmeet,2020-02-14 00:00:00,Monsta X,Takes Over Los Angeles,"Los Angeles, CA",Tower Records,,
USA,Fanmeet,2020-02-15 00:00:00,Monsta X,Takes Over Los Angeles,"Los Angeles, CA",Barnes & Noble,,
USA,Fanmeet,2020-02-20 00:00:00,Monsta X,Takes Over New York City,"New York, NY",Chelsea Music Hall,,
USA,Showcase,2020-01-17 00:00:00,ITZY,ITZY? ITZY!,"Los Angeles, CA",The Novo,,
USA,Showcase,2020-01-19 00:00:00,ITZY,ITZY? ITZY!,"Minneapolis, MN",State Theatre,,
USA,Showcase,2020-01-22 00:00:00,ITZY,ITZY? ITZY!,"Houston, TX",Revention Music Center,,
USA,Showcase,2020-01-24 00:00:00,ITZY,ITZY? ITZY!,"Washington, DC",Warner Theatre,,
USA,Showcase,2020-01-26 00:00:00,ITZY,ITZY? ITZY!,"Brooklyn, NY",Kings Theatre,,
USA,Showcase,2020-02-19 00:00:00,Monsta X,Album Release Party,"Huntington, NY",The Paramount,,
Vietnam,Concert,2020-02-01 00:00:00,Winner,Cross,"Ho Chi Minh City, Vietnam",SECC,,
