Country,Type,Date,Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Argentina,Concert,2017-09-12 00:00:00,Monsta X,Beautiful,"Buenos Aires, Argentina",Luna Park,---,MyMusicTaste
Argentina,Concert,2017-10-04 00:00:00,K.A.R.D,Wild Kard Pt.2,"Buenos Aires, Argentina",Teatro Vorterix,AllAccess,MyMusicTaste
Australia,Concert,2017-08-08 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Brisbane, Australia",Brisbane Entertainment Centre,LiveNation,---
Australia,Concert,2017-08-12 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Melbourne, Australia",Hisense Arena,LiveNation,---
Australia,Concert,2017-09-22 00:00:00,Various,KCON,Sydney,Qudos Bank Arena,Ticketek,FB
Australia,Concert,2017-05-26 00:00:00,BTS,Ep. III The Wings Tour,"Sydney, Australia",Qudos Bank Arena,Ticketek,---
Australia,Concert,2017-08-05 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Sydney, Australia",Qudos Bank Arena,LiveNation,---
Canada,Concert,2017-03-23 00:00:00,Mar 23,Various,Club Eskimo Canada Tour,"Vancouver, BC",Vogue Theatre,Ticketfly
Canada,Concert,2017-03-26 00:00:00,Mar 26,Various,Club Eskimo Canada Tour,"Toronto, ON",The Opera House,Eventbee
Canada,Concert,2017-08-30 00:00:00,Taeyang,White Night,"Mississauga, ON",The International Centre,MegaBoxOffice,Site
Canada,Concert,2017-05-19 00:00:00,The One,Canada Tour Toronto,"North York, ON",Toronto Centre for the Arts,Ticketmaster,FB
Canada,Fanmeet,2017-05-12 00:00:00,"BTOB, KARD",Toronto Kpop Con 2017,"Toronto, ON",John Bassett Theatre,TKC,FB
Canada,Concert,2017-07-06 00:00:00,"G2, Reddy",Universe x G2's Life Tour,"Toronto, ON",Lee's Palace,---,FB
Canada,Concert,2017-07-30 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Toronto, ON",Air Canada Centre,Ticketmaster,---
Canada,Concert,2017-08-25 00:00:00,Seventeen,Diamond Edge,"Toronto, ON",Massey Hall,Venue Site,Site
Canada,Concert,2017-09-08 00:00:00,Hyukoh,tour',"Toronto, ON",The Opera House,Ticketfly,FB
Canada,Concert,2017-10-27 00:00:00,VIXX,Shangri-La,"Toronto, ON",John Bassett Theatre,Eventbee,FB
Canada,Fanmeet,2017-10-29 00:00:00,DAY6,Live & Meet,"Toronto, ON",John Bassett Theatre,Eventbrite,Site
Canada,Concert,2017-07-01 00:00:00,"G2, Reddy",Universe x G2's Life Tour,"Vancouver, BC",Privé Nightclub,Eventbrite,FB
Canada,Concert,2017-09-14 00:00:00,Taeyang,White Night,"Vancouver, BC",Orpheum,MegaBoxOffice,Site
Canada,Festival,2017-09-14 00:00:00,"Hyukoh, Taeyeon",Albatross Music Festival,"Vancouver, BC",Hastings Racecourse,TicketZone,Site
Canada,Concert,2017-09-15 00:00:00,Taeyang,White Night,"Vancouver, BC",Orpheum,MegaBoxOffice,Site
Canada,Concert,2017-10-29 00:00:00,VIXX,Shangri-La,"Vancouver, BC",Hard Rock Casino Vancouver,Ticketmaster,FB
Canada,Concert,2017-05-03 00:00:00,May 03,K.A.R.D,Wild Kard,"Vancouver, BC",Harbour Event Centre,Eventbee
Chile,Concert,2017-08-29 00:00:00,Seventeen,Diamond Edge,"Santiago, Chile",Movistar Arena,Punto Ticket,Site
Chile,Concert,2017-09-14 00:00:00,Monsta X,Beautiful,"Santiago, Chile",Movistar Arena,---,MyMusicTaste
Czech,Concert,2017-05-26 00:00:00,Grace,K-Pop K-Hiphop Party,"Prague, Czech Republic",Style Dance Club,---,FB
Finland,Concert,2017-02-26 00:00:00,Feb 26,Block B,Live Blockbuster,"Helsinki, Finland",The Circus,MyMusicTaste
France,Concert,2017-08-09 00:00:00,Monsta X,Beautiful in Europe,"Paris, France",L'Olympia Bruno Coquatrix,MyMusicTaste,---
France,Concert,2017-09-28 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Paris, France",AccorHotels Arena,Ticketmaster,---
France,Concert,2017-10-27 00:00:00,F.T. Island,Live [X],"Paris, France",Élysée Montmartre,MyMusicTaste,MyMusicTaste
France,Concert,2017-10-29 00:00:00,Hyukoh,tour',"Paris, France",YOYO Palais de Tokyo,Ticketmaster,FB
France,Concert,2017-05-03 00:00:00,May 03,B.A.P.,Party Baby,"Paris, France",Le Zénith Paris,Weezevent
Germany,Concert,2017-08-11 00:00:00,Monsta X,Beautiful in Europe,"Berlin, Germany",Tempodrom,MyMusicTaste,---
Germany,Concert,2017-09-30 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Berlin, Germany",Mercedes-Benz Arena,LiveNation,---
Germany,Concert,2017-05-20 00:00:00,Grace,K-Pop K-Hiphop Party,"Düsseldorf, Germany",Schlösser Quartier Bohème,Ticket Tailor,FB
Germany,Concert,2017-05-27 00:00:00,Grace,K-Pop K-Hiphop Party,"Hamburg, Germany",Club Hamburg,---,FB
HongKong,Concert,2017-05-13 00:00:00,BTS,Ep. III The Wings Tour,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
HongKong,Concert,2017-05-20 00:00:00,SHINee,SHINee World V,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
HongKong,Concert,2017-06-10 00:00:00,Taeyeon,PERSONA,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
HongKong,Concert,2017-06-11 00:00:00,Taeyeon,PERSONA,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
HongKong,Concert,2017-08-12 00:00:00,Seventeen,Diamond Edge,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,---,---
HongKong,Concert,2017-08-19 00:00:00,CN Blue,Between Us,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
HongKong,Concert,2017-08-25 00:00:00,G-Dragon,"ACT III, M.O.T.T.E","Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
HongKong,Concert,2017-11-25 00:00:00,IU,팔레트 (Palette),"Chek Lap Kok, Hong Kong",AsiaWorld Arena,CityLine,---
HongKong,Concert,2017-05-20 00:00:00,T-ara,Live in Macau,"Estr. Flor de Lotus, Macau",Studio City Event Center,HK Ticketing,---
HongKong,Concert,2017-05-13 00:00:00,"Kush, Zion.T",‘OO’ Live,"Kowloon Bay, Hong Kong",Kowloon Bay Exhibition Centre,HK Ticketing,---
HongKong,Concert,2017-05-21 00:00:00,B1A4,Live Space in Hong Kong,"Kowloon Bay, Hong Kong",Kowloon Bay Exhibition Centre,HK Ticketing,---
Hungary,Concert,2017-10-22 00:00:00,F.T. Island,Live [X],"Budapest, Hungary",Barba Negra Music Club,Tixa,MyMusicTaste
Hungary,Concert,2017-03-03 00:00:00,Mar 03,Block B,Live Blockbuster,"Budapest, Hungary",Hung Expo,MyMusicTaste
Hungary,Concert,2017-05-07 00:00:00,May 07,B.A.P.,Party Baby,"Budapest, Hungary",Barba Negra Track,Tixa
Indonesia,Fanmeet,2017-07-29 00:00:00,VIXX,Fan Meeting in SE-Asia,"Jakarta, Indonesia",Kasablanka,MyMusicTaste,---
Indonesia,Concert,2017-09-03 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Jakarta, Indonesia",Indonesia Convention Exhibition,Jd.id,---
Indonesia,Concert,2017-09-23 00:00:00,Seventeen,Diamond Edge,"Jakarta, Indonesia",Indonesia Convention Exhibition,---,MyMusicTaste
Italy,Concert,2017-09-08 00:00:00,K.A.R.D,Wild Kard Tour,"Milan, Italy",Magazzini Generali,CiaoTickets,FB
Japan,Concert,2017-07-26 00:00:00,Apink,3rd Japan Tour「3years」,Aichi,Zepp Nagoya,L-tike,Site
Japan,Concert,2017-09-21 00:00:00,F.T. Island,Here is Paradise,Aichi,Nagoya International Center,T.pia,---
Japan,Concert,2017-10-17 00:00:00,iKON,iKON Japan Dome Tour,Aichi,Nippon Gaishi Hall,T.pia,---
Japan,Concert,2017-11-21 00:00:00,Got7,TBD,Aichi,Zepp Nagoya,Eplus,Site
Japan,Concert,2017-08-19 00:00:00,G-Dragon,"Act III, M.O.T.T.E.",Fukuoka,Fukuoka Yafuoku! Dome,Ltike,---
Japan,Concert,2017-09-13 00:00:00,F.T. Island,Here is Paradise,Fukuoka Prefecture,Fukuoka Sun Palace Hotel,T.pia,---
Japan,Fanmeet,2017-05-27 00:00:00,Bigbang,Bigbang Special Event 2017,"Fukuoka, Japan",Fukuoka Yafuoku! Dome,---,YGEX
Japan,Concert,2017-09-12 00:00:00,F.T. Island,Here is Paradise,Hiroshima,HBG Hall,T.pia,---
Japan,Concert,2017-10-07 00:00:00,iKON,iKON Japan Dome Tour,Hiroshima,Hiroshima Green Arena,T.pia,---
Japan,Concert,2017-11-03 00:00:00,Got7,TBD,Hokkaido,Zepp Sapporo,Eplus,Site
Japan,Concert,2017-11-11 00:00:00,Got7,TBD,Hokkaido,Fukuoka Sun Palace Hotel & Hall,Eplus,Site
Japan,Concert,2017-07-22 00:00:00,Apink,3rd Japan Tour「3years」,Hyogo,Kobe International House,L-tike,Site
Japan,Concert,2017-07-30 00:00:00,Apink,3rd Japan Tour「3years」,Kanagawa,Pacifico Yokohama National Convention Hall,L-tike,Site
Japan,Concert,2017-09-24 00:00:00,Various,10th Anniversary KMF 2017,Kanagawa,Yokohama Arena,T.pia,Site
Japan,Fanmeet,2017-10-29 00:00:00,KNK,1st Fan Meeting,Kanagawa,Kawasaki Civic Auditorium,Eplus,Site
Japan,Concert,2017-09-23 00:00:00,F.T. Island,Here is Paradise,Miyagi Prefecture,Sendai Sun Plaza,T.pia,---
Japan,Concert,2017-07-23 00:00:00,VIXX,2017 Japan Tour,Osaka,Osaka International Convention Center,Eplus,Site
Japan,Concert,2017-08-03 00:00:00,Pentagon,Tentastic Live,Osaka,Zepp Osaka Bayside,T.pia,Site
Japan,Concert,2017-08-04 00:00:00,SF9,Fanfare,Osaka,Zepp Osaka Bayside,T.pia,---
Japan,Concert,2017-08-05 00:00:00,B.A.P,Party Baby,Osaka,Dojima River Forum,Eplus,Site
Japan,Concert,2017-08-06 00:00:00,Mamamoo,Purple,Osaka,Dojima River Forum,"Interpark, Eplus",Site
Japan,Concert,2017-08-22 00:00:00,G-Dragon,"Act III, M.O.T.T.E.",Osaka,Kyocera Dome,Ltike,---
Japan,Concert,2017-08-22 00:00:00,Jessica,On Cloud Nine,Osaka,Orix's Theater,Eplus,Site
Japan,Concert,2017-08-24 00:00:00,Astro,The 1st ASTROAD,Osaka,Zepp Osaka Bayside,Eplus,Site
Japan,Concert,2017-09-25 00:00:00,F.T. Island,Here is Paradise,Osaka,Orix Theater,T.pia,---
Japan,Fanmeet,2017-10-27 00:00:00,KNK,1st Fan Meeting,Osaka,Zepp Namba,Eplus,Site
Japan,Concert,2017-11-24 00:00:00,Got7,TBD,Osaka,Zepp Namba,Eplus,Site
Japan,Fanmeet,2017-06-03 00:00:00,Bigbang,Bigbang Special Event 2017,"Osaka, Japan",Kyocera Dome Osaka,---,YGEX
Japan,Fanmeet,2017-06-04 00:00:00,Bigbang,Bigbang Special Event 2017,"Osaka, Japan",Kyocera Dome Osaka,---,YGEX
Japan,Concert,2017-07-26 00:00:00,Seventeen,Diamond Edge,Saitama,Saitama Super Arena,T.pia,---
Japan,Concert,2017-07-01 00:00:00,BTS,The Wings Tour,Sapporo,Makomanai Ice Arena,L-tike,---
Japan,Concert,2017-10-14 00:00:00,iKON,iKON Japan Dome Tour,Shizuoka,Shizuoka Ecopa Arena,T.pia,---
Japan,Showcase,2017-07-20 00:00:00,Blackpink,Premium Showcase,Tokyo,Nippon Budokan,L-tike,---
Japan,Fanmeet,2017-07-22 00:00:00,Oh My Girl,Coloring Summer,Tokyo,TFT Hall,L-tike,Site
Japan,Concert,2017-08-02 00:00:00,SF9,Fanfare,Tokyo,Toyosu PIT,T.pia,---
Japan,Concert,2017-08-09 00:00:00,B.A.P,Party Baby,Tokyo,Zepp Tokyo,Eplus,Site
Japan,Concert,2017-08-17 00:00:00,"Hyukoh, K.A.R.D",Summer Sonic 2017,Tokyo,Space Odd,Eplus,Site
Japan,Concert,2017-08-24 00:00:00,Jessica,On Cloud Nine,Tokyo,Tokyo International Forum Hall A,Eplus,Site
Japan,Concert,2017-08-25 00:00:00,Myname,Live 2017,Tokyo,Tokyo International Forum Hall A,Eplus,Site
Japan,Concert,2017-08-26 00:00:00,Various,A-nation,Tokyo,Ajinomoto Stadium,T.pia,---
Japan,Concert,2017-08-28 00:00:00,ASTRO,The 1st ASTROAD,Tokyo,Zepp Tokyo,Eplus,Site
Japan,Concert,2017-11-16 00:00:00,Got7,TBD,Tokyo,Zepp DiverCity,Eplus,Site
Japan,Concert,2017-12-21 00:00:00,Got7,TBD,Tokyo,Nippon Budokan,Eplus,Site
Japan,Fanmeet,2017-05-30 00:00:00,Bigbang,Bigbang Special Event 2017,"Tokyo, Japan",Tokyo Dome,---,YGEX
Japan,Fanmeet,2017-05-31 00:00:00,Bigbang,Bigbang Special Event 2017,"Tokyo, Japan",Tokyo Dome,---,YGEX
Japan,Concert,2017-08-07 00:00:00,Pentagon,Tentastic Live,Toyko,Toyosu PIT,T.pia,Site
Japan,Concert,2017-09-06 00:00:00,T2U (Block B),T 2 u (To You),Toyko,Shibuya WWW X,T.pia,---
Japan,Fanmeet,2017-09-17 00:00:00,K.Will,Japan Fan Meeting,Toyko,Toyosu PIT,T.pia,---
Japan,Concert,2017-09-18 00:00:00,Nine Muses,Identify,Toyko,Astro Hall,T.pia,---
Japan,Concert,2017-09-19 00:00:00,G-Dragon,"Act III, M.O.T.T.E.",Toyko,Toyko Dome,Ltike,---
Japan,Concert,2017-09-23 00:00:00,Laboum,Blitz Special talk & live,Toyko,Akasaka Blitz,T.pia,---
Japan,Concert,2017-09-27 00:00:00,F.T. Island,Here is Paradise,Toyko,[TBA],T.pia,---
Japan,Concert,2017-08-07 00:00:00,B.A.P,Party Baby,,Zepp Nagoya,Eplus,Site
Macau,Concert,2017-08-26 00:00:00,AOMG,Follow the Movement,"Estr. Flor de Lotus, Macau",Studio City Event Center,HK Ticketing,---
Malaysia,Fanmeet,2017-07-27 00:00:00,VIXX,Fan Meeting in SE-Asia,"Kuala Lumpur, Malaysia",KL LIVE,Galactix,---
Malaysia,Concert,2017-09-09 00:00:00,Seventeen,Diamond Edge,"Kuala Lumpur, Malaysia",Stadium Negara,---,---
Malaysia,Concert,2017-09-17 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Kuala Lumpur, Malaysia",Stadium Merdeka,TicketCharge,---
Mexico,Concert,2017-08-13 00:00:00,JJCC,Live Tour,Mexico City,Sala Corono,KpopTickets,Site
Mexico,Concert,2017-09-17 00:00:00,Monsta X,Beautiful,"Mexico City, Mexico",Auditorio BlackBerry,Ticketmaster,MyMusicTaste
Mexico,Concert,2017-09-28 00:00:00,24K,Still with 24U,"Mexico City, Mexico",Auditorio BlackBerry,Ticketmaster,
Netherlands,Concert,2017-09-26 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Amsterdam, Netherlands","Ziggo Dome,",Ticketmaster,---
Netherlands,Concert,2017-10-26 00:00:00,F.T. Island,Live [X],"Amsterdam, Netherlands",The Box,MyMusicTaste,MyMusicTaste
Netherlands,Concert,2017-11-01 00:00:00,Hyukoh,tour',"Amsterdam, Netherlands",Q-Factory,Ticketmaster,FB
Netherlands,Concert,2017-02-24 00:00:00,Feb 24,Block B,Live Blockbuster,"Amsterdam, Netherlands",The Box,MyMusicTaste
Netherlands,Concert,2017-09-10 00:00:00,K.A.R.D,Wild Kard Tour,"Rotterdam, Netherlands",Annabel,Ticketscript,FB
NewZealand,Concert,2017-08-16 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Auckland, NZ",Spark Arena,Ticketmaster,---
Peru,Concert,2017-08-20 00:00:00,JJCC,Live Tour,"Lima, Peru",Discoteca Mango's,KpopTickets,Site
Peru,Concert,2017-10-06 00:00:00,K.A.R.D,Wild Kard Pt.2,"Lima, Peru",Jockey Club,Teleticket,MyMusicTaste
Philipines,Concert,2017-09-01 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Manila, Philippines",Smart Araneta Coliseum,Ticketmaster,---
Philipines,Concert,2017-10-06 00:00:00,Seventeen,Diamond Edge,"Manila, Philippines",Mall of Asia Arena,---,---
Poland,Concert,2017-05-06 00:00:00,May 06,B.A.P.,Party Baby,"Warsaw, Poland",Progresja,---
Poland,Concert,2017-06-03 00:00:00,Grace,K-Pop K-Hiphop Party,"Warsaw, Poland",VooDoo Club,---,FB
Poland,Concert,2017-10-24 00:00:00,F.T. Island,Live [X],"Warsaw, Poland",Palladium,GoOut,MyMusicTaste
Portugal,Concert,2017-09-03 00:00:00,K.A.R.D,Wild Kard Tour,"Lisbon, Portugal",Sala Time Out,Ticketline,FB
Portugal,Concert,2017-02-28 00:00:00,Feb 28,Block B,Live Blockbuster,"Lisboa, Portugal",LxFactory,MyMusicTaste
PuertoRico,Concert,2017-08-18 00:00:00,JJCC,Live Tour,"San Juan, Puerto Rico",Centro de Bellas Artes Luis A. Ferre,KpopTickets,Site
Russia,Concert,2017-06-04 00:00:00,Grace,K-Pop K-Hiphop Party,"Moscow, Russia",Клуб ЛЕС,---,VK
Russia,Concert,2017-08-13 00:00:00,Monsta X,Beautiful in Europe,"Moscow, Russia",Stadium Live,MyMusicTaste,---
Russia,Concert,2017-10-20 00:00:00,F.T. Island,Live [X],"Moscow, Russia",Glavclub,Venue,MyMusicTaste
Singapore,Concert,2017-02-11 00:00:00,F.T. Island,Live: The Truth,Singapore,Singapore Indoor Stadium,Sporthubtix,---
Singapore,Fanmeet,2017-02-11 00:00:00,Pentagon,1st Showcase in Singapore,Singapore,Kallang Theatre,Sistic,---
Singapore,Fanmeet,2017-03-05 00:00:00,Astro,1st Showcase in Singapore,Singapore,Resorts World Theatre,Loket,---
Singapore,Concert,2017-04-02 00:00:00,Exo,The EXO'rDIUM,Singapore,Singapore Indoor Stadium,Sportshubtix,---
Singapore,Showcase,2017-06-03 00:00:00,Pentagon,1st Showcase in Singapore,Singapore,Kallang Theatre,Sistic,---
Singapore,Concert,2017-06-30 00:00:00,SF9,Be My Fantasy,Singapore,MasterCard Theatres,Venue Site,---
Singapore,Concert,2017-07-01 00:00:00,CN Blue,Between Us,Singapore,Zepp Big Box,APACTix,---
Singapore,Concert,2017-07-30 00:00:00,Eric Nam,1st Live in Singapore,Singapore,MES Theatre,Sistic,FB
Singapore,Concert,2017-08-04 00:00:00,Various,Music Bank in Singapore,Singapore,Suntec Convention Centre,---,---
Singapore,Concert,2017-09-22 00:00:00,Wanna One,Wanna Be Loved,Singapore,Zepp @ Bigbox Singapore,[ApacTix](),---
Singapore,Concert,2017-09-27 00:00:00,Gugudan,Live Show,Singapore,MasterCard Theatres,Sistec,---
Singapore,Concert,2017-09-29 00:00:00,Seventeen,Diamond Edge,Singapore,Suntec Convention Centre,ApacTix,---
Singapore,Concert,2017-11-24 00:00:00,Hyukoh,Live in Singapore,Singapore,Zepp @ Bigbox Singapore,ApacTix,---
Singapore,Fanmeet,2017-12-30 00:00:00,JBJ,Come True,Singapore,Zepp@Bigbox Singapore,Apactix,IME Asia
South Korea,Concert,2017-08-19 00:00:00,Mamamoo,Moosical (Curtain Call),Busan,KBS Busan Hall,Yes24,---
South Korea,Concert,2017-08-27 00:00:00,Highlight,Can You Feel It?,Busan,Busan Exhibition and Convention Center,Interpark,---
South Korea,Concert,2017-08-31 00:00:00,Girls Live,"DalShabet, Sonamoo, BerryGood, Dreamcatcher",Busan,Busan Exhibition and Convention Center,Interpark,---
South Korea,Concert,2017-09-09 00:00:00,Various,"With, Antenna. The Label Concert",Busan,Busan Exhibition and Convention Center,Yes24,---
South Korea,Concert,2017-11-03 00:00:00,IU,팔레트 (Palette),Busan,Sajik Arena,MelOn,---
South Korea,Concert,2017-11-25 00:00:00,Guckkasten,Happening,Busan,KBS Busan Hall,Interpark,---
South Korea,Concert,2017-12-22 00:00:00,Daybreak,Christmas Concert,Busan,Yeongdo Culture and Arts Center,Interpark,---
South Korea,Concert,2017-12-23 00:00:00,"ALi, V.O.S, Ben",The Ballad,Busan,Suncheon Palma Stadium,Interpark,---
South Korea,Concert,2017-12-23 00:00:00,Wanna One,Premier Fan-Con,Busan,Busan Exhibition and Convention Center,Interpark,---
South Korea,Concert,2017-12-30 00:00:00,Various,Brand New Year,Busan,Lotte Hotel Busan,Interpark,---
South Korea,Concert,2017-12-31 00:00:00,Bolbbalgan4,상상 (Imagine),Busan,Sohayng Theater,Interpark,---
South Korea,Concert,2017-08-26 00:00:00,Various,The Vibe Family Concert,Changwon,KBS Changwon Hall,Auction,---
South Korea,Concert,2017-12-03 00:00:00,IU,팔레트 (Palette),Cheongju,Seokwoo Cultural Gymnasium,MelOn,---
South Korea,Concert,2017-12-09 00:00:00,Guckkasten,Happening,Daegu,Daegu Gymnasium,Interpark,---
South Korea,Concert,2017-12-23 00:00:00,Gummy,Feel the Voice Season 3,Daegu,Cheonma Art Center,Interpark,---
South Korea,Festival,2017-09-24 00:00:00,Various,SBS Inkigayo Super Concert,Daejeon,Daejeon World Cup Stadium,Interpark,---
South Korea,Concert,2017-12-17 00:00:00,Guckkasten,Happening,Daejeon,Daejeon Convention Center,Interpark,---
South Korea,Concert,2017-07-22 00:00:00,Akdong Musician,AKMU Concert 일기장 (Diary),Goyang,AramNuri Arts Center,Interpark,---
South Korea,Concert,2017-12-30 00:00:00,Big Bang,Last Dance,"Guro-gu, Seoul",Gocheok Sky Dome,---,Play24
South Korea,Concert,2017-09-02 00:00:00,Highlight,Can You Feel It?,Gwangju,Kwangju Women's University Stadium,Interpark,---
South Korea,Concert,2017-11-11 00:00:00,IU,팔레트 (Palette),Gwangju,Gwangju Women's University Gymnasium,MelOn,---
South Korea,Concert,2017-12-16 00:00:00,Gummy,Feel the Voice Season 3,Jeju,Jeju International Convention Center,Interpark,---
South Korea,Concert,2017-11-04 00:00:00,Various,Dream Concert 2017,Pyeongchang,Pyeongchang Olympic Stadium,MelOn,---
South Korea,Concert,2017-07-01 00:00:00,Produce 101 S2,Finale Concert,Seoul,Olympic Park Olympic Hall,Yes24 Kr / Eng,---
South Korea,Concert,2017-07-08 00:00:00,SM Town,Live World Tour VI,Seoul,Seoul World Cup Stadium,Yes24,---
South Korea,Concert,2017-07-15 00:00:00,Astro,1st ASTROAD to Seoul,Seoul,Olympic Park Olympic Hall,Interpark,---
South Korea,Fanmeet,2017-07-23 00:00:00,Super Junior - D&E,Hello Again,Seoul,Sejong University Daeyang Hall,Yes24,---
South Korea,Showcase,2017-07-26 00:00:00,MYTEEN,First Mini-Album Showcase,Seoul,Ilchi Art Hall,Interpark,
South Korea,Concert,2017-07-29 00:00:00,Teen Top,Put Your TeenTop 7,Seoul,KBS Arena Hall,Interpark,---
South Korea,Concert,2017-07-29 00:00:00,Day6,Every DAY6 Concert in July,Seoul,Yes24 Live Hall,Yes24,---
South Korea,Concert,2017-07-29 00:00:00,Lovelyz,Alwayz,Seoul,Olympic Park Olympic Hall,Interpark,---
South Korea,Concert,2017-07-29 00:00:00,Nine Muses,Re: Mine,Seoul,Blue Square,Interpark,---
South Korea,Concert,2017-07-30 00:00:00,Up10tion,1st TENSION UP,Seoul,KBS Arena Hall,Interpark,---
South Korea,Fanmeet,2017-07-30 00:00:00,DreamCatcher,Welcome to the dreamworld,Seoul,Ilchi Art Hall,Interpark,
South Korea,Concert,2017-07-30 00:00:00,R.G.P (Real Girls Project),Dreaming,Seoul,Chang-dong platform 61,Interpark,
South Korea,Concert,2017-08-05 00:00:00,Girls' Generation,Holiday to Remember,Seoul,Olympic Park Olympic Hall,Yes24,---
South Korea,Concert,2017-08-07 00:00:00,Wanna One,Premier Show-Con,Seoul,Gocheok Sky Dome,Interpark,---
South Korea,Concert,2017-08-08 00:00:00,Weki Meki,Debut Showcase,Seoul,Jangchung Gymnasium,Interpark,---
South Korea,Concert,2017-08-12 00:00:00,Boys24,The Final,Seoul,Olympic Park Olympic Hall,Interpark,---
South Korea,Concert,2017-08-13 00:00:00,Jessica,Jessica On Cloud Nine,Seoul,Blue Square,Interpark,---
South Korea,Fanmeet,2017-08-13 00:00:00,SF9,Be My Fantasy,Seoul,Sangmyung Art Center,Auction,---
South Korea,Concert,2017-08-12 00:00:00,"10cm, Cheeze",10cm x Cheeze Concert,Seoul,COEX Art Hall,Interpark,---
South Korea,Concert,2017-08-19 00:00:00,Girls Live,"DalShabet, Sonamoo, BerryGood, Dreamcatcher",Seoul,Jangchung Gymnasium,Interpark,---
South Korea,Concert,2017-08-19 00:00:00,Red Velvet,Red Room,Seoul,Olympic Park Olympic Hall,Yes24,---
South Korea,Concert,2017-08-26 00:00:00,Various,Energy Sharing Concert,Seoul,SK Olympic Handball Gymnasium,Interpark,---
South Korea,Concert,2017-08-26 00:00:00,Taemin (SHINee),Off-Sick,Seoul,Olympic Park Olympic Hall,Yes24,---
South Korea,Concert,2017-08-26 00:00:00,Taeyang (Big Bang),White Night,Seoul,Jamsil Arena,Auction,---
South Korea,Concert,2017-08-26 00:00:00,F.T. Island,X,Seoul,Blue Square,Interpark,---
South Korea,Showcase,2017-08-31 00:00:00,IZ,Debut Showcase,Seoul,Yes24 Live Hall,Yes24,---
South Korea,Concert,2017-09-01 00:00:00,Day6,Every DAY6 Concert,Seoul,KT&G SangSang Madang,Yes24,---
South Korea,Concert,2017-09-03 00:00:00,Good Day,All Day Good Day,Seoul,Yes24 Live Hall,Yes24,---
South Korea,Fanmeet,2017-09-09 00:00:00,Gugudan,Sept. 9th Gugudanjjak,Seoul,Woori Financial Art Hall,Interpark,---
South Korea,Concert,2017-09-09 00:00:00,"Heize, Suran, Penomeco",Shinhan Card 'Lead By',Seoul,Fan Square,Interpark,---
South Korea,Concert,2017-09-22 00:00:00,Various,BrandNew World,Seoul,Jangchung Gymnasium,Yes24,---
South Korea,Concert,2017-09-22 00:00:00,Sechskies,20th Anniversary Concert,Seoul,Gocheok Sky Dome,Auction,---
South Korea,Fanmeet,2017-09-23 00:00:00,"Ailee, Na Yoonkwon",The CHEMISTRY,Seoul,Jangchung Gymnasium,Interpark,---
South Korea,Fanmeet,2017-09-30 00:00:00,TVXQ,YouR PresenT,Seoul,Jamsil Arena,Yes24,---
South Korea,Concert,2017-09-30 00:00:00,Various,Fandom School KMF,Seoul,Gocheok Sky Dome,Melon,Note: Set list differs per day
South Korea,Concert,2017-10-01 00:00:00,Various,Fandom School KMF,Seoul,Gocheok Sky Dome,Melon,Note: Set list differs per day
South Korea,Concert,2017-10-14 00:00:00,BewhY,The Blind Star,Seoul,Yes24 Live Hall,Melon,---
South Korea,Concert,2017-10-14 00:00:00,Zion.T,Cinema,Seoul,Olympic Park Olympic Hall,Auction,---
South Korea,Concert,2017-10-14 00:00:00,Taemin (SHINee),Off-Sick,Seoul,Jamsil Arena,Yes24,---
South Korea,Concert,2017-10-28 00:00:00,Yoo Seung Woo,달달한 밤,Seoul,Muse Live,Melon,---
South Korea,Concert,2017-11-03 00:00:00,Epik High,Comeback Concert,Seoul,Blue Square I-Market Hall,Interpark,---
South Korea,Concert,2017-11-03 00:00:00,Day6,Concert in November,Seoul,KT&G Sangsang Madang Live Hall,Yes24,---
South Korea,Concert,2017-11-07 00:00:00,Monsta X,Show-Con,Seoul,Jangchung Gymnasium,MelOn,---
South Korea,Fanmeet,2017-11-11 00:00:00,RGP (Real Girls Project),Not End...But And !!,Seoul,Ilchi Art Hall,Interpark,---
South Korea,Concert,2017-11-18 00:00:00,Various,Anyang Cheer Up For You Concert,Seoul,Anyang Sports Complex,TicketLink,---
